Lag;NordicBet;Nettavisen;UniBet;Oddschecker;Dagsavisen;Dagbladet;Aftenposten;Resultat
Molde;2;2;2;2;1;1;1,2;1
Rosenborg;1;1;1;1;2;3;1,8;3
Brann;3;3;4;3;5;2;3,2;9
Sarpsborg 08;3;4;3;4;3;5;6,2;12
Vålerenga;5;5;5;5;4;4;8;10
Haugesund;7;7;7;7;10;8;8;7
Kristiansund BK;9;6;8;9;7;9;8;6
Odd;8;8;10;10;9;6;8;4
Lillestrøm;9;10;10;11;6;7;8;14
Bodø/Glimt;13;15;10;12;8;10;8;2
Strømsgodset;5;9;6;6;15;12;9,4;11
Tromsø;9;11;8;8;13;15;9,4;15
Ranheim;13;12;13;15;16;11;11,4;16
Stabæk;13;13;13;14;11;14;11,8;8
Mjøndalen;16;16;16;16;14;13;13,6;13
Viking;12;14;13;13;12;16;14,4;5
;;;;;;;;
Kilde;https://www.nordicbet.com/no/odds#?cat=&reg=&sc=6054;https://www.nettavisen.no/sportspill/her-er-nettavisens-tabelltips-for-eliteserien-2019/3423620404.html;https://www.tk.no/sporten/fotball/eliteserien/plasserer-kbk-midt-pa-2019-tabellen/s/5-51-608359;https://www.oddschecker.com/football/norway/eliteserien/norwegian-eliteserien/winner;https://www.dagsavisen.no/sport/slik-ender-eliteserien-kanskje-1.1457870;https://www.dagbladet.no/sport/dagbladets-tabelltips-slik-ender-eliteserien/70922152;https://www.aftenposten.no/100Sport/fotball/Bare-n-av-fem-eksperter-tror-pa-RBK-gull---I-dag-er-de-ikke-i-narheten-av-topp-tre-271547b.html;
;Basert på odds for å vinne serien. Like plasseringer er plassert med høyeste nummer.;Oppdateres fram til 30. mars;;;;;;
