Kategori: Alle kategorier

Måned,data science: (Norge),Kunstig intelligens: (Norge)
2004-01,0,0
2004-02,0,0
2004-03,0,100
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,67,0
2004-09,0,0
2004-10,0,57
2004-11,56,0
2004-12,0,0
2005-01,0,0
2005-02,0,47
2005-03,0,0
2005-04,0,43
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,31,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,28,0
2006-08,0,0
2006-09,0,0
2006-10,17,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,36
2007-06,0,14
2007-07,0,0
2007-08,0,12
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,11
2008-01,9,0
2008-02,0,0
2008-03,0,0
2008-04,9,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,7,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,7
2009-09,0,0
2009-10,6,0
2009-11,6,0
2009-12,0,0
2010-01,0,0
2010-02,6,0
2010-03,0,0
2010-04,6,0
2010-05,6,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,0
2010-10,0,5
2010-11,5,0
2010-12,0,0
2011-01,4,0
2011-02,4,4
2011-03,3,0
2011-04,0,0
2011-05,0,0
2011-06,0,0
2011-07,4,0
2011-08,10,0
2011-09,3,0
2011-10,6,3
2011-11,3,3
2011-12,0,6
2012-01,3,5
2012-02,0,0
2012-03,3,0
2012-04,0,0
2012-05,0,3
2012-06,0,0
2012-07,0,3
2012-08,0,3
2012-09,0,0
2012-10,2,2
2012-11,0,2
2012-12,0,0
2013-01,0,0
2013-02,5,0
2013-03,5,0
2013-04,2,0
2013-05,2,2
2013-06,2,0
2013-07,0,0
2013-08,2,0
2013-09,0,2
2013-10,2,0
2013-11,2,0
2013-12,2,2
2014-01,2,0
2014-02,2,4
2014-03,2,4
2014-04,0,0
2014-05,4,2
2014-06,0,0
2014-07,3,0
2014-08,2,7
2014-09,0,0
2014-10,6,2
2014-11,6,2
2014-12,4,2
2015-01,4,2
2015-02,4,4
2015-03,2,2
2015-04,2,0
2015-05,8,0
2015-06,9,4
2015-07,2,5
2015-08,8,2
2015-09,6,6
2015-10,8,4
2015-11,6,2
2015-12,2,2
2016-01,11,0
2016-02,8,6
2016-03,7,7
2016-04,6,2
2016-05,4,2
2016-06,14,4
2016-07,0,0
2016-08,12,0
2016-09,8,2
2016-10,10,4
2016-11,15,7
2016-12,13,6
2017-01,10,7
2017-02,4,8
2017-03,17,17
2017-04,11,13
2017-05,12,5
2017-06,8,13
2017-07,4,8
2017-08,9,10
2017-09,16,10
2017-10,17,12
2017-11,17,13
2017-12,9,21
2018-01,11,19
2018-02,27,29
2018-03,10,15
2018-04,13,10
2018-05,20,12
2018-06,12,8
2018-07,6,9
2018-08,24,16
2018-09,15,15
2018-10,23,17
2018-11,15,10
2018-12,15,7
2019-01,16,12
2019-02,21,17
2019-03,26,16
2019-04,24,18
