knr_2018;sindeks_2018;sklasse_2018
0301;1000;1
0230;976;1
0231;973;1
0219;971;1
0228;942;1
0220;936;1
0602;933;1
0104;932;1
0217;929;2
0213;914;2
0235;909;2
1103;908;2
0215;906;2
1201;902;2
0214;899;2
5001;898;2
0625;897;2
0626;896;2
0124;893;2
0704;891;2
0136;890;2
0701;889;2
0105;887;2
0234;887;2
1102;887;2
0233;885;2
0106;884;2
0627;883;2
0211;880;2
0227;880;2
1127;877;2
0403;876;2
1124;872;2
0710;870;2
0226;869;3
0123;865;3
0805;860;3
1001;857;3
0624;856;3
0216;855;3
1120;854;3
0125;853;3
0713;851;3
0604;850;3
0712;850;3
0237;847;3
0806;846;3
0138;845;3
0101;843;3
0729;843;3
1121;843;3
0715;842;3
0135;838;3
0238;833;3
1106;831;3
1504;827;3
0501;823;3
0137;822;3
0716;821;3
0229;817;3
0236;817;3
0605;815;3
0417;814;3
1246;814;3
1247;814;3
5031;813;3
0623;812;3
0904;812;3
0628;810;3
1902;808;3
1122;807;3
0502;803;3
0906;803;3
1804;801;3
0612;800;3
0122;799;3
0221;799;3
0402;799;3
5035;799;3
0128;794;3
5030;793;3
0415;792;3
0127;789;3
1243;788;3
0926;787;3
0412;786;3
1119;786;3
0533;785;3
1018;785;3
0534;784;3
1002;783;3
0419;779;3
5024;779;3
0532;778;3
5028;778;3
0814;775;3
1502;774;3
0529;769;4
1256;768;4
1505;766;4
1014;765;4
1017;764;4
1149;764;4
0427;762;4
0807;762;4
5037;762;4
0711;761;4
1101;753;4
1432;752;4
5038;750;4
0821;747;4
5029;745;4
1903;744;4
1531;743;4
0119;742;4
1263;742;4
0815;741;4
1235;737;4
5004;736;4
1221;734;4
1516;732;4
0528;731;4
0239;730;4
1142;730;4
1519;727;4
0111;725;4
1520;725;4
1146;723;4
5005;723;4
1130;722;4
1529;722;4
2012;721;4
1532;720;4
0418;718;4
1833;714;4
0819;713;4
1032;713;4
1253;712;4
0914;711;4
0928;711;4
1805;711;4
0822;709;4
1401;706;4
0901;704;4
1824;704;4
0631;703;4
0919;701;4
1523;700;4
2004;700;4
0521;699;4
0420;698;4
1517;698;4
0617;697;4
1114;697;4
1003;695;4
1259;695;4
1420;695;4
1245;694;4
1528;692;4
0937;691;4
1004;690;4
1242;690;4
0522;686;4
1029;686;4
0538;683;4
1870;683;4
1841;681;4
1216;679;4
1515;679;4
1238;677;4
1260;677;4
0536;676;4
5053;676;4
