Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
03;Oslo;0301;Oslo;;;A;Arbeiderpartiet;20,00783;545506;30522;42600;73122;-11,9596;-8,3465;12;0;
03;Oslo;0301;Oslo;;;SV;SV - Sosialistisk Venstreparti;9,10014;545506;13980;19278;33258;3,65577;-0,17578;6;0;
03;Oslo;0301;Oslo;;;RØDT;Rødt;7,19682;545506;12455;13847;26302;2,14912;0,9089;4;0;
03;Oslo;0301;Oslo;;;SP;Senterpartiet;2,18351;545506;3071;4909;7980;1,58243;0,06474;1;0;
03;Oslo;0301;Oslo;;;KRF;Kristelig Folkeparti;1,73641;545506;2405;3941;6346;-0,7063;-0,40006;1;0;
03;Oslo;0301;Oslo;;;MDG;Miljøpartiet De Grønne;15,26047;545506;26431;29341;55772;7,11624;9,30762;9;0;
03;Oslo;0301;Oslo;;;V;Venstre;5,77617;545506;6866;14244;21110;-1,08538;-2,65012;4;0;
03;Oslo;0301;Oslo;;;H;Høyre;25,4012;545506;37213;55620;92833;-6,3949;-1,0452;15;0;
03;Oslo;0301;Oslo;;;FRP;Fremskrittspartiet;5,27325;545506;8680;10592;19272;-0,75347;-4,27099;3;0;
03;Oslo;0301;Oslo;;;ALLI;Alliansen;0,1089;545506;223;175;398;0,1089;0,02337;0;0;
03;Oslo;0301;Oslo;;;DEMN;Demokratene;0,26487;545506;784;184;968;0,03392;0,17606;0;0;
03;Oslo;0301;Oslo;;;FNB;Folkeaksjonen Nei til mer bompenger;5,84075;545506;9861;11485;21346;5,84075;5,84075;4;0;
03;Oslo;0301;Oslo;;;HELSE;Helsepartiet;0,23231;545506;364;485;849;0,23231;-0,09022;0;0;
03;Oslo;0301;Oslo;;;KRISTNE;Partiet De Kristne;0,16718;545506;242;369;611;0,03579;0,07375;0;0;
03;Oslo;0301;Oslo;;;KYST;Kystpartiet;0,04351;545506;50;109;159;0,00481;0,04351;0;0;
03;Oslo;0301;Oslo;;;LIBS;Liberalistene;0,22218;545506;355;457;812;0,22218;0,04049;0;0;
03;Oslo;0301;Oslo;;;NKP;Norges Kommunistiske Parti;0,07251;545506;101;164;265;-0,00239;0,04009;0;0;
03;Oslo;0301;Oslo;;;PIR;Piratpartiet;0,18962;545506;228;465;693;-0,06161;0,01801;0;0;
03;Oslo;0301;Oslo;;;PP;Pensjonistpartiet;0,60717;545506;1199;1020;2219;0,24234;0,24351;0;0;
03;Oslo;0301;Oslo;;;BLANKE;Blanke;0,5259;545506;599;1323;1922;0,13486;0,05546;0;0;
03;Oslo;0301;Oslo;;;FI;Feministisk Initiativ;0,15843;545506;270;309;579;-0,27475;0,06962;0;0;
03;Oslo;0301;Oslo;;;SELV;Selvstendighetspartiet;0,15679;545506;113;460;573;0,15679;0,15679;0;0;
11;Rogaland;1101;Eigersund;;;A;Arbeiderpartiet;32,98763;11537;740;1741;2481;1,10495;10,2547;10;0;
11;Rogaland;1101;Eigersund;;;SV;SV - Sosialistisk Venstreparti;5,27855;11537;131;266;397;0,7847;2,48832;2;0;
11;Rogaland;1101;Eigersund;;;SP;Senterpartiet;11,78035;11537;231;655;886;3,56527;2,41313;4;0;
11;Rogaland;1101;Eigersund;;;KRF;Kristelig Folkeparti;8,64247;11537;159;491;650;-6,44741;1,19354;3;0;
11;Rogaland;1101;Eigersund;;;MDG;Miljøpartiet De Grønne;2,22045;11537;67;100;167;2,22045;0,61357;0;0;
11;Rogaland;1101;Eigersund;;;V;Venstre;2,40659;11537;45;136;181;-1,8192;-0,3961;1;0;
11;Rogaland;1101;Eigersund;;;H;Høyre;16,02181;11537;360;845;1205;-3,98766;-11,40719;5;0;
11;Rogaland;1101;Eigersund;;;FRP;Fremskrittspartiet;20,66215;11537;493;1061;1554;4,57889;-2,76835;6;0;
11;Rogaland;1101;Eigersund;;;BLANKE;Blanke;1,0371;11537;30;48;78;0,21717;0,51393;0;0;
11;Rogaland;1103;Stavanger;;;A;Arbeiderpartiet;25,42207;109617;5553;12637;18190;-1,59819;-1,35333;18;0;
11;Rogaland;1103;Stavanger;;;SV;SV - Sosialistisk Venstreparti;4,75458;109617;1236;2166;3402;0,42627;-0,99524;3;0;
11;Rogaland;1103;Stavanger;;;RØDT;Rødt;5,48133;109617;1507;2415;3922;4,2147;3,59881;4;0;
11;Rogaland;1103;Stavanger;;;SP;Senterpartiet;4,78813;109617;880;2546;3426;2,31666;1,36449;3;0;
