"start_time";"end_time";"duration";"pause_duration";"distance";"average_speed";"max_speed";"duration_per_km";"pulse_avg";"pulse_max"
1526840757000;1526842946000;2187889;0;6596;10,853202;13,391716;331699;144;159
1540752043000;1540754401000;2356854;0;7094;10,8358;15,596898;332232;0;0
1542223614000;1542225937000;2323585;0;7187;11,135;14,893384;323303;0;0
1523644317000;1523646484000;2165512;0;6456;10,732612;15,882695;335426;153;182
1553196134000;1553201073000;4937730;0;13608;9,921977;13,454247;362855;148;170
1552724381000;1552731290000;6908450;0;19025;9,914125;12,224619;363125;154;175
1546975900000;1546978348000;2447194;0;7212;10,602019;15,043082;339323;157;180
1525371665000;1525375023000;3356603;0;9902;10,620022;14,307485;338982;161;181
1548876495000;1548880091000;3594503;0;10525;10,542089;12,995554;341520;162;183
1525546080000;1525546440000;360000;0;1200;11,999999;0;300000;0;0
1566029435000;1566032635000;3198385;0;8040;9,050236;12,955021;397809;136;158
1558165696000;1558169359000;3661893;0;9689;9,525844;13,483864;377943;145;167
1557258660000;1557259802000;1142000;0;3159;9,958;13,203264;361507;0;0
1533579276000;1533583908000;3798805;832500;10855;10,275547;16,243235;349959;156;182
1539108857000;1539111495000;2637562;0;8538;11,653489;14,886578;308920;153;179
1523988089000;1523990352000;2262409;0;6557;10,433658;15,317182;345037;154;177
1555826968000;1555828983000;2014403;0;6060;10,830123;13,898659;332410;0;0
1561280980000;1561284556000;3573732;1032;9799;9,871819;14,330236;364704;145;170
1535716497000;1535721782000;5284140;0;15641;10,655962;14,508869;337839;0;0
1527880123000;1527882190000;2066110;0;4504;7,8477907;12,076829;458728;134;160
1527619309000;1527623817000;4427841;78921;12477;10,120688;16,09975;354880;155;174
1530793039000;1530795381000;2340296;0;6915;10,637116;14,826336;338438;151;172
1554020923000;1554024353000;3428265;0;10988;11,539227;15,125556;312001;158;179
1562175931000;1562178482000;2549917;0;6704;9,464911;12,653478;380358;144;164
1568656403000;1568661100000;4695767;0;11473;8,796433;13,453925;409289;152;180
1565504441000;1565505727000;1284418;0;3189;8,940587;11,582376;402765;137;167
1564339837000;1564342331000;2492584;0;6740;9,735374;12,682013;369820;143;170
1569076215000;1569079199000;2984000;0;10000;12,064343;0;298400;0;0
1527005359000;1527009889000;4529657;0;12576;9,994928;13,921664;360183;154;177
1564125730000;1564126799000;1067623;0;2793;9,419756;12,577898;382250;141;166
1540035025000;1540037644000;2619000;0;10000;13,745704;0;261900;181;196
1529603826000;1529605682000;1854602;0;5210;10,11322;15,804272;355970;146;180
1549394556000;1549397159000;2602306;0;7322;10,129757;14,370683;355409;146;166
1549567864000;1549571900000;4034891;0;10577;9,43732;12,114303;381478;152;171
1559238407000;1559240383000;1974989;0;5377;9,802826;12,75178;367303;0;0
1566314533000;1566317719000;3185404;0;8831;9,980511;13,747717;360707;158;183
1538072598000;1538075303000;2703883;0;8402;11,186579;16,297848;321814;152;172
1537902051000;1537904325000;2272775;0;5442;8,619947;14,538805;417636;152;170
1548682967000;1548685679000;2710742;0;7247;9,625137;14,173524;374050;156;177
1526063065000;1526065355000;2288781;0;7069;11,118757;15,704328;323777;148;163
1546542831000;1546545383000;2552000;0;7187;10,138;13,907903;355085;156;177
1443191170000;1443191749000;579000;0;1982;12,323;32,6445;292129;NA;NA
1443258514000;1443266917000;8403000;0;42210;18,084;86,59057;199076;NA;NA
1443859559000;1443865942000;6383000;0;15318;8,639;19,911694;416699;NA;NA
1443630416000;1443633593000;3177000;0;7028;7,964;16,587317;452049;NA;NA
1443459501000;1443461394000;1893000;0;5445;10,355;25,265318;347658;NA;NA
1445077246000;1445084627000;7381000;0;19301;9,414;23,543734;382415;NA;NA
1444715596000;1444716370000;774000;0;3485;16,209;54,10638;222095;NA;NA
1444560000000;1444564045000;4045000;0;7141;6,355;14,065015;566447;NA;NA
