"start_time";"end_time";"duration";"distance";"average_speed";"year";"month";"week";"duration_sec";"duration_min";"duration_lubridate"
2018-05-20 20:25:57;2018-05-20 21:02:26;2187889;6,596;10,853202;2018;5;20;2188;36,4666666666667;2188s (~36.47 minutes)
2018-10-28 19:40:43;2018-10-28 20:20:01;2356854;7,094;10,8358;2018;10;43;2357;39,2833333333333;2357s (~39.28 minutes)
2018-11-14 20:26:54;2018-11-14 21:05:37;2323585;7,187;11,135;2018;11;46;2324;38,7333333333333;2324s (~38.73 minutes)
2019-10-28 20:00:35;2019-10-28 20:34:36;2039075;6,005;10,602029;2019;10;43;2039;33,9833333333333;2039s (~33.98 minutes)
2018-04-13 20:31:57;2018-04-13 21:08:04;2165512;6,456;10,732612;2018;4;15;2166;36,1;2166s (~36.1 minutes)
2019-03-21 20:22:14;2019-03-21 21:44:33;4937730;13,608;9,921977;2019;3;12;4938;82,3;4938s (~1.37 hours)
2019-10-24 20:01:16;2019-10-24 21:10:32;4155152;11,859;10,275;2019;10;43;4155;69,25;4155s (~1.15 hours)
2019-03-16 09:19:41;2019-03-16 11:14:50;6908450;19,025;9,914125;2019;3;11;6908;115,133333333333;6908s (~1.92 hours)
2019-01-08 20:31:40;2019-01-08 21:12:28;2447194;7,212;10,602019;2019;1;2;2447;40,7833333333333;2447s (~40.78 minutes)
2018-05-03 20:21:05;2018-05-03 21:17:03;3356603;9,902;10,620022;2018;5;18;3357;55,95;3357s (~55.95 minutes)
2019-01-30 20:28:15;2019-01-30 21:28:11;3594503;10,525;10,542089;2019;1;5;3595;59,9166666666667;3595s (~59.92 minutes)
2018-05-05 20:48:00;2018-05-05 20:54:00;360000;1,2;11,999999;2018;5;18;360;6;360s (~6 minutes)
2019-08-17 10:10:35;2019-08-17 11:03:55;3198385;8,04;9,050236;2019;8;33;3198;53,3;3198s (~53.3 minutes)
2019-05-18 09:48:16;2019-05-18 10:49:19;3661893;9,689;9,525844;2019;5;20;3662;61,0333333333333;3662s (~1.02 hours)
2019-05-07 21:51:00;2019-05-07 22:10:02;1142000;3,159;9,958;2019;5;19;1142;19,0333333333333;1142s (~19.03 minutes)
2018-08-06 20:14:36;2018-08-06 21:31:48;3798805;10,855;10,275547;2018;8;32;3799;63,3166666666667;3799s (~1.06 hours)
2018-10-09 20:14:17;2018-10-09 20:58:15;2637562;8,538;11,653489;2018;10;41;2638;43,9666666666667;2638s (~43.97 minutes)
2019-11-07 20:50:55;2019-11-07 21:21:51;1854439;5,875;11,405243;2019;11;45;1854;30,9;1854s (~30.9 minutes)
2018-04-17 20:01:29;2018-04-17 20:39:12;2262409;6,557;10,433658;2018;4;16;2262;37,7;2262s (~37.7 minutes)
2019-04-21 08:09:28;2019-04-21 08:43:03;2014403;6,06;10,830123;2019;4;16;2014;33,5666666666667;2014s (~33.57 minutes)
2019-09-24 19:58:38;2019-09-24 21:17:40;4741286;11,9;9,03596;2019;9;39;4741;79,0166666666667;4741s (~1.32 hours)
2019-06-23 11:09:40;2019-06-23 12:09:16;3573732;9,799;9,871819;2019;6;25;3574;59,5666666666667;3574s (~59.57 minutes)
2018-08-31 13:54:57;2018-08-31 15:23:02;5284140;15,641;10,655962;2018;8;35;5284;88,0666666666667;5284s (~1.47 hours)
2019-10-12 14:25:55;2019-10-12 15:16:24;3029000;10;11,88511;2019;10;41;3029;50,4833333333333;3029s (~50.48 minutes)
2018-06-01 21:08:43;2018-06-01 21:43:10;2066110;4,504;7,8477907;2018;6;22;2066;34,4333333333333;2066s (~34.43 minutes)
2018-05-29 20:41:49;2018-05-29 21:56:57;4427841;12,477;10,120688;2018;5;22;4428;73,8;4428s (~1.23 hours)
2018-07-05 14:17:19;2018-07-05 14:56:21;2340296;6,915;10,637116;2018;7;27;2340;39;2340s (~39 minutes)
2019-03-31 10:28:43;2019-03-31 11:25:53;3428265;10,988;11,539227;2019;3;13;3428;57,1333333333333;3428s (~57.13 minutes)
2019-07-03 19:45:31;2019-07-03 20:28:02;2549917;6,704;9,464911;2019;7;27;2550;42,5;2550s (~42.5 minutes)
2019-11-04 16:08:28;2019-11-04 17:00:39;3129917;8,984;10,333664;2019;11;44;3130;52,1666666666667;3130s (~52.17 minutes)
2019-09-16 19:53:23;2019-09-16 21:11:40;4695767;11,473;8,796433;2019;9;37;4696;78,2666666666667;4696s (~1.3 hours)
2019-08-11 08:20:41;2019-08-11 08:42:07;1284418;3,189;8,940587;2019;8;32;1284;21,4;1284s (~21.4 minutes)
2019-07-28 20:50:37;2019-07-28 21:32:11;2492584;6,74;9,735374;2019;7;30;2493;41,55;2493s (~41.55 minutes)
2019-09-21 16:30:15;2019-09-21 17:19:59;2984000;10;12,064343;2019;9;38;2984;49,7333333333333;2984s (~49.73 minutes)
2018-05-22 18:09:19;2018-05-22 19:24:49;4529657;12,576;9,994928;2018;5;21;4530;75,5;4530s (~1.26 hours)
2019-07-26 09:22:10;2019-07-26 09:39:59;1067623;2,793;9,419756;2019;7;30;1068;17,8;1068s (~17.8 minutes)
2018-10-20 13:30:25;2018-10-20 14:14:04;2619000;10;13,745704;2018;10;42;2619;43,65;2619s (~43.65 minutes)
2018-06-21 19:57:06;2018-06-21 20:28:02;1854602;5,21;10,11322;2018;6;25;1855;30,9166666666667;1855s (~30.92 minutes)
2019-02-05 20:22:36;2019-02-05 21:05:59;2602306;7,322;10,129757;2019;2;6;2602;43,3666666666667;2602s (~43.37 minutes)
2019-02-07 20:31:04;2019-02-07 21:38:20;4034891;10,577;9,43732;2019;2;6;4035;67,25;4035s (~1.12 hours)
2019-05-30 19:46:47;2019-05-30 20:19:43;1974989;5,377;9,802826;2019;5;22;1975;32,9166666666667;1975s (~32.92 minutes)
2019-08-20 17:22:13;2019-08-20 18:15:19;3185404;8,831;9,980511;2019;8;34;3185;53,0833333333333;3185s (~53.08 minutes)
2018-09-27 20:23:18;2018-09-27 21:08:23;2703883;8,402;11,186579;2018;9;39;2704;45,0666666666667;2704s (~45.07 minutes)
2018-09-25 21:00:51;2018-09-25 21:38:45;2272775;5,442;8,619947;2018;9;39;2273;37,8833333333333;2273s (~37.88 minutes)
2019-01-28 14:42:47;2019-01-28 15:27:59;2710742;7,247;9,625137;2019;1;4;2711;45,1833333333333;2711s (~45.18 minutes)
2020-01-03 17:23:05;2020-01-03 17:44:09;1262358;2,985;8,513269;2020;1;1;1262;21,0333333333333;1262s (~21.03 minutes)
2018-05-11 20:24:25;2018-05-11 21:02:35;2288781;7,069;11,118757;2018;5;19;2289;38,15;2289s (~38.15 minutes)
