Fra;Til;KWH 60 Forbruk
05.07.2019 00:00;05.07.2019 01:00;0,205
05.07.2019 01:00;05.07.2019 02:00;0,141
05.07.2019 02:00;05.07.2019 03:00;0,145
05.07.2019 03:00;05.07.2019 04:00;0,321
05.07.2019 04:00;05.07.2019 05:00;0,847
05.07.2019 05:00;05.07.2019 06:00;0,171
05.07.2019 06:00;05.07.2019 07:00;0,169
05.07.2019 07:00;05.07.2019 08:00;0,121
05.07.2019 08:00;05.07.2019 09:00;0,195
05.07.2019 09:00;05.07.2019 10:00;0,14
05.07.2019 10:00;05.07.2019 11:00;0,14
05.07.2019 11:00;05.07.2019 12:00;0,201
05.07.2019 12:00;05.07.2019 13:00;0,182
05.07.2019 13:00;05.07.2019 14:00;0,193
05.07.2019 14:00;05.07.2019 15:00;0,834
05.07.2019 15:00;05.07.2019 16:00;0,366
05.07.2019 16:00;05.07.2019 17:00;0,136
05.07.2019 17:00;05.07.2019 18:00;0,173
05.07.2019 18:00;05.07.2019 19:00;0,17
05.07.2019 19:00;05.07.2019 20:00;0,127
05.07.2019 20:00;05.07.2019 21:00;0,206
05.07.2019 21:00;05.07.2019 22:00;0,127
05.07.2019 22:00;05.07.2019 23:00;0,17
05.07.2019 23:00;06.07.2019 00:00;0,163
06.07.2019 00:00;06.07.2019 01:00;0,123
06.07.2019 01:00;06.07.2019 02:00;0,483
06.07.2019 02:00;06.07.2019 03:00;0,687
06.07.2019 03:00;06.07.2019 04:00;0,167
06.07.2019 04:00;06.07.2019 05:00;0,161
06.07.2019 05:00;06.07.2019 06:00;0,121
06.07.2019 06:00;06.07.2019 07:00;0,205
06.07.2019 07:00;06.07.2019 08:00;0,121
06.07.2019 08:00;06.07.2019 09:00;0,162
06.07.2019 09:00;06.07.2019 10:00;0,165
06.07.2019 10:00;06.07.2019 11:00;0,121
06.07.2019 11:00;06.07.2019 12:00;0,199
06.07.2019 12:00;06.07.2019 13:00;0,249
06.07.2019 13:00;06.07.2019 14:00;0,895
06.07.2019 14:00;06.07.2019 15:00;0,172
06.07.2019 15:00;06.07.2019 16:00;0,121
06.07.2019 16:00;06.07.2019 17:00;0,191
06.07.2019 17:00;06.07.2019 18:00;0,137
06.07.2019 18:00;06.07.2019 19:00;0,142
06.07.2019 19:00;06.07.2019 20:00;0,184
06.07.2019 20:00;06.07.2019 21:00;0,121
06.07.2019 21:00;06.07.2019 22:00;0,357
06.07.2019 22:00;06.07.2019 23:00;0,83
06.07.2019 23:00;07.07.2019 00:00;0,13
07.07.2019 00:00;07.07.2019 01:00;0,196
07.07.2019 01:00;07.07.2019 02:00;0,121
07.07.2019 02:00;07.07.2019 03:00;0,167
07.07.2019 03:00;07.07.2019 04:00;0,157
07.07.2019 04:00;07.07.2019 05:00;0,121
07.07.2019 05:00;07.07.2019 06:00;0,201
07.07.2019 06:00;07.07.2019 07:00;0,122
07.07.2019 07:00;07.07.2019 08:00;0,154
07.07.2019 08:00;07.07.2019 09:00;1,008
07.07.2019 09:00;07.07.2019 10:00;0,121
07.07.2019 10:00;07.07.2019 11:00;0,233
07.07.2019 11:00;07.07.2019 12:00;0,55
07.07.2019 12:00;07.07.2019 13:00;0,924
07.07.2019 13:00;07.07.2019 14:00;0,984
07.07.2019 14:00;07.07.2019 15:00;1,288
07.07.2019 15:00;07.07.2019 16:00;0,267
07.07.2019 16:00;07.07.2019 17:00;0,909
07.07.2019 17:00;07.07.2019 18:00;0,591
07.07.2019 18:00;07.07.2019 19:00;1,478
07.07.2019 19:00;07.07.2019 20:00;0,253
07.07.2019 20:00;07.07.2019 21:00;0,29
07.07.2019 21:00;07.07.2019 22:00;0,717
07.07.2019 22:00;07.07.2019 23:00;1,186
07.07.2019 23:00;08.07.2019 00:00;1,07
08.07.2019 00:00;08.07.2019 01:00;0,527
08.07.2019 01:00;08.07.2019 02:00;1,208
08.07.2019 02:00;08.07.2019 03:00;0,408
08.07.2019 03:00;08.07.2019 04:00;0,47
08.07.2019 04:00;08.07.2019 05:00;0,229
08.07.2019 05:00;08.07.2019 06:00;0,396
08.07.2019 06:00;08.07.2019 07:00;0,406
08.07.2019 07:00;08.07.2019 08:00;0,833
08.07.2019 08:00;08.07.2019 09:00;2,293
08.07.2019 09:00;08.07.2019 10:00;0,789
08.07.2019 10:00;08.07.2019 11:00;2,506
08.07.2019 11:00;08.07.2019 12:00;2,293
08.07.2019 12:00;08.07.2019 13:00;0,569
08.07.2019 13:00;08.07.2019 14:00;0,217
08.07.2019 14:00;08.07.2019 15:00;0,277
08.07.2019 15:00;08.07.2019 16:00;0,846
08.07.2019 16:00;08.07.2019 17:00;2,011
08.07.2019 17:00;08.07.2019 18:00;0,327
08.07.2019 18:00;08.07.2019 19:00;0,313
08.07.2019 19:00;08.07.2019 20:00;1,755
08.07.2019 20:00;08.07.2019 21:00;0,982
08.07.2019 21:00;08.07.2019 22:00;0,471
08.07.2019 22:00;08.07.2019 23:00;0,408
08.07.2019 23:00;09.07.2019 00:00;1,049
09.07.2019 00:00;09.07.2019 01:00;0,699
09.07.2019 01:00;09.07.2019 02:00;0,186
09.07.2019 02:00;09.07.2019 03:00;0,165
09.07.2019 03:00;09.07.2019 04:00;0,301
09.07.2019 04:00;09.07.2019 05:00;0,232
09.07.2019 05:00;09.07.2019 06:00;0,199
09.07.2019 06:00;09.07.2019 07:00;0,192
09.07.2019 07:00;09.07.2019 08:00;0,161
09.07.2019 08:00;09.07.2019 09:00;1,524
09.07.2019 09:00;09.07.2019 10:00;0,424
09.07.2019 10:00;09.07.2019 11:00;0,236
09.07.2019 11:00;09.07.2019 12:00;0,363
09.07.2019 12:00;09.07.2019 13:00;0,54
09.07.2019 13:00;09.07.2019 14:00;2,322
09.07.2019 14:00;09.07.2019 15:00;0,492
09.07.2019 15:00;09.07.2019 16:00;0,225
09.07.2019 16:00;09.07.2019 17:00;2,433
09.07.2019 17:00;09.07.2019 18:00;3,294
09.07.2019 18:00;09.07.2019 19:00;1,949
09.07.2019 19:00;09.07.2019 20:00;1,241
09.07.2019 20:00;09.07.2019 21:00;0,746
09.07.2019 21:00;09.07.2019 22:00;1,146
09.07.2019 22:00;09.07.2019 23:00;1,022
09.07.2019 23:00;10.07.2019 00:00;1,481
10.07.2019 00:00;10.07.2019 01:00;0,299
10.07.2019 01:00;10.07.2019 02:00;0,398
10.07.2019 02:00;10.07.2019 03:00;0,162
10.07.2019 03:00;10.07.2019 04:00;0,37
10.07.2019 04:00;10.07.2019 05:00;0,439
10.07.2019 05:00;10.07.2019 06:00;0,218
10.07.2019 06:00;10.07.2019 07:00;1,293
10.07.2019 07:00;10.07.2019 08:00;0,567
10.07.2019 08:00;10.07.2019 09:00;1,21
10.07.2019 09:00;10.07.2019 10:00;2,155
10.07.2019 10:00;10.07.2019 11:00;0,972
10.07.2019 11:00;10.07.2019 12:00;0,253
10.07.2019 12:00;10.07.2019 13:00;0,392
10.07.2019 13:00;10.07.2019 14:00;1,308
10.07.2019 14:00;10.07.2019 15:00;0,633
10.07.2019 15:00;10.07.2019 16:00;0,347
10.07.2019 16:00;10.07.2019 17:00;0,836
10.07.2019 17:00;10.07.2019 18:00;1,674
10.07.2019 18:00;10.07.2019 19:00;0,466
10.07.2019 19:00;10.07.2019 20:00;3,085
10.07.2019 20:00;10.07.2019 21:00;1,654
10.07.2019 21:00;10.07.2019 22:00;0,47
10.07.2019 22:00;10.07.2019 23:00;0,428
10.07.2019 23:00;11.07.2019 00:00;0,417
11.07.2019 00:00;11.07.2019 01:00;0,409
11.07.2019 01:00;11.07.2019 02:00;0,187
11.07.2019 02:00;11.07.2019 03:00;0,379
11.07.2019 03:00;11.07.2019 04:00;0,94
11.07.2019 04:00;11.07.2019 05:00;0,325
11.07.2019 05:00;11.07.2019 06:00;0,333
11.07.2019 06:00;11.07.2019 07:00;0,186
11.07.2019 07:00;11.07.2019 08:00;0,409
11.07.2019 08:00;11.07.2019 09:00;0,602
11.07.2019 09:00;11.07.2019 10:00;1,624
11.07.2019 10:00;11.07.2019 11:00;1,402
11.07.2019 11:00;11.07.2019 12:00;1,053
11.07.2019 12:00;11.07.2019 13:00;0,241
11.07.2019 13:00;11.07.2019 14:00;0,403
11.07.2019 14:00;11.07.2019 15:00;0,171
11.07.2019 15:00;11.07.2019 16:00;0,318
11.07.2019 16:00;11.07.2019 17:00;2,571
11.07.2019 17:00;11.07.2019 18:00;2,35
11.07.2019 18:00;11.07.2019 19:00;2,446
11.07.2019 19:00;11.07.2019 20:00;2,921
11.07.2019 20:00;11.07.2019 21:00;3,317
11.07.2019 21:00;11.07.2019 22:00;2,616
11.07.2019 22:00;11.07.2019 23:00;0,546
11.07.2019 23:00;12.07.2019 00:00;0,562
12.07.2019 00:00;12.07.2019 01:00;0,259
12.07.2019 01:00;12.07.2019 02:00;0,544
12.07.2019 02:00;12.07.2019 03:00;0,24
12.07.2019 03:00;12.07.2019 04:00;0,386
12.07.2019 04:00;12.07.2019 05:00;0,343
12.07.2019 05:00;12.07.2019 06:00;0,647
12.07.2019 06:00;12.07.2019 07:00;0,633
12.07.2019 07:00;12.07.2019 08:00;0,401
12.07.2019 08:00;12.07.2019 09:00;0,751
12.07.2019 09:00;12.07.2019 10:00;1,615
12.07.2019 10:00;12.07.2019 11:00;0,835
12.07.2019 11:00;12.07.2019 12:00;0,303
12.07.2019 12:00;12.07.2019 13:00;0,222
12.07.2019 13:00;12.07.2019 14:00;1,347
12.07.2019 14:00;12.07.2019 15:00;0,173
12.07.2019 15:00;12.07.2019 16:00;0,441
12.07.2019 16:00;12.07.2019 17:00;1,676
12.07.2019 17:00;12.07.2019 18:00;2,583
12.07.2019 18:00;12.07.2019 19:00;3,155
12.07.2019 19:00;12.07.2019 20:00;1,853
12.07.2019 20:00;12.07.2019 21:00;0,476
12.07.2019 21:00;12.07.2019 22:00;0,43
12.07.2019 22:00;12.07.2019 23:00;0,615
12.07.2019 23:00;13.07.2019 00:00;0,309
13.07.2019 00:00;13.07.2019 01:00;0,764
13.07.2019 01:00;13.07.2019 02:00;0,705
13.07.2019 02:00;13.07.2019 03:00;0,172
13.07.2019 03:00;13.07.2019 04:00;0,223
13.07.2019 04:00;13.07.2019 05:00;0,343
13.07.2019 05:00;13.07.2019 06:00;0,157
13.07.2019 06:00;13.07.2019 07:00;0,226
13.07.2019 07:00;13.07.2019 08:00;0,608
13.07.2019 08:00;13.07.2019 09:00;2,696
13.07.2019 09:00;13.07.2019 10:00;2,404
13.07.2019 10:00;13.07.2019 11:00;0,471
13.07.2019 11:00;13.07.2019 12:00;0,281
13.07.2019 12:00;13.07.2019 13:00;0,273
13.07.2019 13:00;13.07.2019 14:00;0,41
13.07.2019 14:00;13.07.2019 15:00;0,183
13.07.2019 15:00;13.07.2019 16:00;0,261
13.07.2019 16:00;13.07.2019 17:00;0,471
13.07.2019 17:00;13.07.2019 18:00;1,702
13.07.2019 18:00;13.07.2019 19:00;0,991
13.07.2019 19:00;13.07.2019 20:00;2,865
13.07.2019 20:00;13.07.2019 21:00;3,11
13.07.2019 21:00;13.07.2019 22:00;1,767
13.07.2019 22:00;13.07.2019 23:00;0,47
13.07.2019 23:00;14.07.2019 00:00;0,433
14.07.2019 00:00;14.07.2019 01:00;0,176
14.07.2019 01:00;14.07.2019 02:00;0,225
14.07.2019 02:00;14.07.2019 03:00;0,383
14.07.2019 03:00;14.07.2019 04:00;0,221
14.07.2019 04:00;14.07.2019 05:00;1,024
14.07.2019 05:00;14.07.2019 06:00;0,201
14.07.2019 06:00;14.07.2019 07:00;0,367
14.07.2019 07:00;14.07.2019 08:00;0,567
14.07.2019 08:00;14.07.2019 09:00;1,615
14.07.2019 09:00;14.07.2019 10:00;0,562
14.07.2019 10:00;14.07.2019 11:00;0,42
14.07.2019 11:00;14.07.2019 12:00;1,159
14.07.2019 12:00;14.07.2019 13:00;1,871
14.07.2019 13:00;14.07.2019 14:00;0,832
14.07.2019 14:00;14.07.2019 15:00;0,681
14.07.2019 15:00;14.07.2019 16:00;0,634
14.07.2019 16:00;14.07.2019 17:00;0,182
14.07.2019 17:00;14.07.2019 18:00;1,214
14.07.2019 18:00;14.07.2019 19:00;0,323
14.07.2019 19:00;14.07.2019 20:00;0,24
14.07.2019 20:00;14.07.2019 21:00;0,72
14.07.2019 21:00;14.07.2019 22:00;2,201
14.07.2019 22:00;14.07.2019 23:00;0,979
14.07.2019 23:00;15.07.2019 00:00;0,782
15.07.2019 00:00;15.07.2019 01:00;0,219
15.07.2019 01:00;15.07.2019 02:00;1,241
15.07.2019 02:00;15.07.2019 03:00;0,25
15.07.2019 03:00;15.07.2019 04:00;0,187
15.07.2019 04:00;15.07.2019 05:00;0,203
15.07.2019 05:00;15.07.2019 06:00;0,366
15.07.2019 06:00;15.07.2019 07:00;0,239
15.07.2019 07:00;15.07.2019 08:00;0,252
15.07.2019 08:00;15.07.2019 09:00;1,671
15.07.2019 09:00;15.07.2019 10:00;1,213
15.07.2019 10:00;15.07.2019 11:00;1,466
15.07.2019 11:00;15.07.2019 12:00;0,793
15.07.2019 12:00;15.07.2019 13:00;0,957
15.07.2019 13:00;15.07.2019 14:00;1,817
15.07.2019 14:00;15.07.2019 15:00;1,031
15.07.2019 15:00;15.07.2019 16:00;0,745
15.07.2019 16:00;15.07.2019 17:00;0,224
15.07.2019 17:00;15.07.2019 18:00;0,218
15.07.2019 18:00;15.07.2019 19:00;1,172
15.07.2019 19:00;15.07.2019 20:00;0,163
15.07.2019 20:00;15.07.2019 21:00;0,142
15.07.2019 21:00;15.07.2019 22:00;0,209
15.07.2019 22:00;15.07.2019 23:00;0,222
15.07.2019 23:00;16.07.2019 00:00;0,219
16.07.2019 00:00;16.07.2019 01:00;0,143
16.07.2019 01:00;16.07.2019 02:00;0,152
16.07.2019 02:00;16.07.2019 03:00;0,228
16.07.2019 03:00;16.07.2019 04:00;0,216
16.07.2019 04:00;16.07.2019 05:00;0,983
16.07.2019 05:00;16.07.2019 06:00;0,157
16.07.2019 06:00;16.07.2019 07:00;0,226
16.07.2019 07:00;16.07.2019 08:00;0,201
16.07.2019 08:00;16.07.2019 09:00;0,142
16.07.2019 09:00;16.07.2019 10:00;0,175
16.07.2019 10:00;16.07.2019 11:00;0,223
16.07.2019 11:00;16.07.2019 12:00;0,211
16.07.2019 12:00;16.07.2019 13:00;0,142
16.07.2019 13:00;16.07.2019 14:00;0,181
16.07.2019 14:00;16.07.2019 15:00;0,223
16.07.2019 15:00;16.07.2019 16:00;1,075
16.07.2019 16:00;16.07.2019 17:00;0,161
16.07.2019 17:00;16.07.2019 18:00;0,142
16.07.2019 18:00;16.07.2019 19:00;0,225
16.07.2019 19:00;16.07.2019 20:00;0,221
16.07.2019 20:00;16.07.2019 21:00;0,196
16.07.2019 21:00;16.07.2019 22:00;0,142
16.07.2019 22:00;16.07.2019 23:00;0,181
16.07.2019 23:00;17.07.2019 00:00;0,223
17.07.2019 00:00;17.07.2019 01:00;0,199
17.07.2019 01:00;17.07.2019 02:00;0,142
17.07.2019 02:00;17.07.2019 03:00;0,181
17.07.2019 03:00;17.07.2019 04:00;1,017
17.07.2019 04:00;17.07.2019 05:00;0,19
17.07.2019 05:00;17.07.2019 06:00;0,142
17.07.2019 06:00;17.07.2019 07:00;0,189
17.07.2019 07:00;17.07.2019 08:00;0,221
17.07.2019 08:00;17.07.2019 09:00;0,185
17.07.2019 09:00;17.07.2019 10:00;0,142
17.07.2019 10:00;17.07.2019 11:00;0,195
17.07.2019 11:00;17.07.2019 12:00;0,231
17.07.2019 12:00;17.07.2019 13:00;0,195
17.07.2019 13:00;17.07.2019 14:00;0,143
17.07.2019 14:00;17.07.2019 15:00;1,028
17.07.2019 15:00;17.07.2019 16:00;0,223
17.07.2019 16:00;17.07.2019 17:00;0,219
17.07.2019 17:00;17.07.2019 18:00;0,17
17.07.2019 18:00;17.07.2019 19:00;0,142
17.07.2019 19:00;17.07.2019 20:00;0,217
17.07.2019 20:00;17.07.2019 21:00;0,221
17.07.2019 21:00;17.07.2019 22:00;0,21
17.07.2019 22:00;17.07.2019 23:00;0,142
17.07.2019 23:00;18.07.2019 00:00;0,166
18.07.2019 00:00;18.07.2019 01:00;0,225
18.07.2019 01:00;18.07.2019 02:00;0,219
18.07.2019 02:00;18.07.2019 03:00;0,97
18.07.2019 03:00;18.07.2019 04:00;0,154
18.07.2019 04:00;18.07.2019 05:00;0,227
18.07.2019 05:00;18.07.2019 06:00;0,219
18.07.2019 06:00;18.07.2019 07:00;0,144
18.07.2019 07:00;18.07.2019 08:00;0,153
18.07.2019 08:00;18.07.2019 09:00;0,226
18.07.2019 09:00;18.07.2019 10:00;0,212
18.07.2019 10:00;18.07.2019 11:00;0,152
18.07.2019 11:00;18.07.2019 12:00;0,166
18.07.2019 12:00;18.07.2019 13:00;0,224
18.07.2019 13:00;18.07.2019 14:00;0,192
18.07.2019 14:00;18.07.2019 15:00;0,911
18.07.2019 15:00;18.07.2019 16:00;0,19
18.07.2019 16:00;18.07.2019 17:00;0,222
18.07.2019 17:00;18.07.2019 18:00;0,197
18.07.2019 18:00;18.07.2019 19:00;0,142
18.07.2019 19:00;18.07.2019 20:00;0,186
18.07.2019 20:00;18.07.2019 21:00;0,222
18.07.2019 21:00;18.07.2019 22:00;0,192
18.07.2019 22:00;18.07.2019 23:00;0,141
18.07.2019 23:00;19.07.2019 00:00;0,191
19.07.2019 00:00;19.07.2019 01:00;0,222
19.07.2019 01:00;19.07.2019 02:00;0,989
19.07.2019 02:00;19.07.2019 03:00;0,142
19.07.2019 03:00;19.07.2019 04:00;0,209
19.07.2019 04:00;19.07.2019 05:00;0,221
19.07.2019 05:00;19.07.2019 06:00;0,148
19.07.2019 06:00;19.07.2019 07:00;0,15
19.07.2019 07:00;19.07.2019 08:00;0,227
19.07.2019 08:00;19.07.2019 09:00;0,212
19.07.2019 09:00;19.07.2019 10:00;0,142
19.07.2019 10:00;19.07.2019 11:00;0,17
19.07.2019 11:00;19.07.2019 12:00;0,224
19.07.2019 12:00;19.07.2019 13:00;1
19.07.2019 13:00;19.07.2019 14:00;0,143
19.07.2019 14:00;19.07.2019 15:00;0,183
19.07.2019 15:00;19.07.2019 16:00;0,221
19.07.2019 16:00;19.07.2019 17:00;0,178
19.07.2019 17:00;19.07.2019 18:00;0,142
19.07.2019 18:00;19.07.2019 19:00;0,204
19.07.2019 19:00;19.07.2019 20:00;0,221
19.07.2019 20:00;19.07.2019 21:00;0,166
19.07.2019 21:00;19.07.2019 22:00;0,141
19.07.2019 22:00;19.07.2019 23:00;0,214
19.07.2019 23:00;20.07.2019 00:00;0,283
20.07.2019 00:00;20.07.2019 01:00;0,924
20.07.2019 01:00;20.07.2019 02:00;0,146
20.07.2019 02:00;20.07.2019 03:00;0,228
20.07.2019 03:00;20.07.2019 04:00;0,198
20.07.2019 04:00;20.07.2019 05:00;0,143
20.07.2019 05:00;20.07.2019 06:00;0,18
20.07.2019 06:00;20.07.2019 07:00;0,223
20.07.2019 07:00;20.07.2019 08:00;0,172
20.07.2019 08:00;20.07.2019 09:00;0,142
20.07.2019 09:00;20.07.2019 10:00;0,208
20.07.2019 10:00;20.07.2019 11:00;0,23
20.07.2019 11:00;20.07.2019 12:00;0,877
20.07.2019 12:00;20.07.2019 13:00;0,232
20.07.2019 13:00;20.07.2019 14:00;0,227
20.07.2019 14:00;20.07.2019 15:00;0,219
20.07.2019 15:00;20.07.2019 16:00;0,158
20.07.2019 16:00;20.07.2019 17:00;0,141
20.07.2019 17:00;20.07.2019 18:00;0,229
20.07.2019 18:00;20.07.2019 19:00;0,219
20.07.2019 19:00;20.07.2019 20:00;0,15
20.07.2019 20:00;20.07.2019 21:00;0,15
20.07.2019 21:00;20.07.2019 22:00;0,227
20.07.2019 22:00;20.07.2019 23:00;0,219
20.07.2019 23:00;21.07.2019 00:00;0,966
21.07.2019 00:00;21.07.2019 01:00;0,149
21.07.2019 01:00;21.07.2019 02:00;0,227
21.07.2019 02:00;21.07.2019 03:00;0,202
21.07.2019 03:00;21.07.2019 04:00;0,142
21.07.2019 04:00;21.07.2019 05:00;0,178
21.07.2019 05:00;21.07.2019 06:00;0,223
21.07.2019 06:00;21.07.2019 07:00;0,189
21.07.2019 07:00;21.07.2019 08:00;0,141
21.07.2019 08:00;21.07.2019 09:00;0,19
21.07.2019 09:00;21.07.2019 10:00;0,221
21.07.2019 10:00;21.07.2019 11:00;0,857
21.07.2019 11:00;21.07.2019 12:00;0,283
21.07.2019 12:00;21.07.2019 13:00;0,194
21.07.2019 13:00;21.07.2019 14:00;0,221
21.07.2019 14:00;21.07.2019 15:00;0,163
21.07.2019 15:00;21.07.2019 16:00;0,142
21.07.2019 16:00;21.07.2019 17:00;0,217
21.07.2019 17:00;21.07.2019 18:00;0,219
21.07.2019 18:00;21.07.2019 19:00;0,151
21.07.2019 19:00;21.07.2019 20:00;0,145
21.07.2019 20:00;21.07.2019 21:00;0,228
21.07.2019 21:00;21.07.2019 22:00;0,219
21.07.2019 22:00;21.07.2019 23:00;0,984
21.07.2019 23:00;22.07.2019 00:00;0,152
22.07.2019 00:00;22.07.2019 01:00;0,226
22.07.2019 01:00;22.07.2019 02:00;0,195
22.07.2019 02:00;22.07.2019 03:00;0,142
22.07.2019 03:00;22.07.2019 04:00;0,182
22.07.2019 04:00;22.07.2019 05:00;0,223
22.07.2019 05:00;22.07.2019 06:00;0,17
22.07.2019 06:00;22.07.2019 07:00;0,142
22.07.2019 07:00;22.07.2019 08:00;0,206
22.07.2019 08:00;22.07.2019 09:00;0,22
22.07.2019 09:00;22.07.2019 10:00;0,779
22.07.2019 10:00;22.07.2019 11:00;0,354
22.07.2019 11:00;22.07.2019 12:00;0,227
22.07.2019 12:00;22.07.2019 13:00;0,206
22.07.2019 13:00;22.07.2019 14:00;0,142
22.07.2019 14:00;22.07.2019 15:00;0,176
22.07.2019 15:00;22.07.2019 16:00;0,223
22.07.2019 16:00;22.07.2019 17:00;0,216
22.07.2019 17:00;22.07.2019 18:00;0,142
22.07.2019 18:00;22.07.2019 19:00;0,163
22.07.2019 19:00;22.07.2019 20:00;0,225
22.07.2019 20:00;22.07.2019 21:00;0,202
22.07.2019 21:00;22.07.2019 22:00;0,966
22.07.2019 22:00;22.07.2019 23:00;0,177
22.07.2019 23:00;23.07.2019 00:00;0,223
23.07.2019 00:00;23.07.2019 01:00;0,186
23.07.2019 01:00;23.07.2019 02:00;0,142
23.07.2019 02:00;23.07.2019 03:00;0,193
23.07.2019 03:00;23.07.2019 04:00;0,221
23.07.2019 04:00;23.07.2019 05:00;0,166
23.07.2019 05:00;23.07.2019 06:00;0,142
23.07.2019 06:00;23.07.2019 07:00;0,213
23.07.2019 07:00;23.07.2019 08:00;0,22
23.07.2019 08:00;23.07.2019 09:00;0,245
23.07.2019 09:00;23.07.2019 10:00;0,856
23.07.2019 10:00;23.07.2019 11:00;0,237
23.07.2019 11:00;23.07.2019 12:00;0,214
23.07.2019 12:00;23.07.2019 13:00;0,142
23.07.2019 13:00;23.07.2019 14:00;0,17
23.07.2019 14:00;23.07.2019 15:00;0,226
23.07.2019 15:00;23.07.2019 16:00;0,22
23.07.2019 16:00;23.07.2019 17:00;0,173
23.07.2019 17:00;23.07.2019 18:00;0,143
23.07.2019 18:00;23.07.2019 19:00;0,22
23.07.2019 19:00;23.07.2019 20:00;0,223
23.07.2019 20:00;23.07.2019 21:00;1,053
23.07.2019 21:00;23.07.2019 22:00;0,145
23.07.2019 22:00;23.07.2019 23:00;0,157
23.07.2019 23:00;24.07.2019 00:00;0,227
24.07.2019 00:00;24.07.2019 01:00;0,221
24.07.2019 01:00;24.07.2019 02:00;0,176
24.07.2019 02:00;24.07.2019 03:00;0,143
24.07.2019 03:00;24.07.2019 04:00;0,205
24.07.2019 04:00;24.07.2019 05:00;0,222
24.07.2019 05:00;24.07.2019 06:00;0,191
24.07.2019 06:00;24.07.2019 07:00;0,143
24.07.2019 07:00;24.07.2019 08:00;0,188
24.07.2019 08:00;24.07.2019 09:00;0,946
24.07.2019 09:00;24.07.2019 10:00;0,304
24.07.2019 10:00;24.07.2019 11:00;0,153
24.07.2019 11:00;24.07.2019 12:00;0,185
24.07.2019 12:00;24.07.2019 13:00;0,224
24.07.2019 13:00;24.07.2019 14:00;0,22
24.07.2019 14:00;24.07.2019 15:00;0,153
24.07.2019 15:00;24.07.2019 16:00;0,161
24.07.2019 16:00;24.07.2019 17:00;0,228
24.07.2019 17:00;24.07.2019 18:00;0,222
24.07.2019 18:00;24.07.2019 19:00;0,221
24.07.2019 19:00;24.07.2019 20:00;0,154
24.07.2019 20:00;24.07.2019 21:00;0,342
24.07.2019 21:00;24.07.2019 22:00;0,86
24.07.2019 22:00;24.07.2019 23:00;0,221
24.07.2019 23:00;25.07.2019 00:00;0,206
25.07.2019 00:00;25.07.2019 01:00;0,143
25.07.2019 01:00;25.07.2019 02:00;0,18
25.07.2019 02:00;25.07.2019 03:00;0,224
25.07.2019 03:00;25.07.2019 04:00;0,217
25.07.2019 04:00;25.07.2019 05:00;0,142
25.07.2019 05:00;25.07.2019 06:00;0,168
25.07.2019 06:00;25.07.2019 07:00;0,225
25.07.2019 07:00;25.07.2019 08:00;0,22
25.07.2019 08:00;25.07.2019 09:00;0,325
25.07.2019 09:00;25.07.2019 10:00;0,825
25.07.2019 10:00;25.07.2019 11:00;0,235
25.07.2019 11:00;25.07.2019 12:00;0,222
25.07.2019 12:00;25.07.2019 13:00;0,205
25.07.2019 13:00;25.07.2019 14:00;0,144
25.07.2019 14:00;25.07.2019 15:00;0,189
25.07.2019 15:00;25.07.2019 16:00;0,227
25.07.2019 16:00;25.07.2019 17:00;0,222
25.07.2019 17:00;25.07.2019 18:00;0,222
25.07.2019 18:00;25.07.2019 19:00;0,221
25.07.2019 19:00;25.07.2019 20:00;0,167
25.07.2019 20:00;25.07.2019 21:00;0,144
25.07.2019 21:00;25.07.2019 22:00;0,868
25.07.2019 22:00;25.07.2019 23:00;0,425
25.07.2019 23:00;26.07.2019 00:00;0,221
26.07.2019 00:00;26.07.2019 01:00;0,195
26.07.2019 01:00;26.07.2019 02:00;0,142
26.07.2019 02:00;26.07.2019 03:00;0,191
26.07.2019 03:00;26.07.2019 04:00;0,225
26.07.2019 04:00;26.07.2019 05:00;0,221
26.07.2019 05:00;26.07.2019 06:00;0,169
26.07.2019 06:00;26.07.2019 07:00;0,142
26.07.2019 07:00;26.07.2019 08:00;0,221
26.07.2019 08:00;26.07.2019 09:00;0,221
26.07.2019 09:00;26.07.2019 10:00;0,22
26.07.2019 10:00;26.07.2019 11:00;0,986
26.07.2019 11:00;26.07.2019 12:00;0,165
26.07.2019 12:00;26.07.2019 13:00;0,228
26.07.2019 13:00;26.07.2019 14:00;0,224
26.07.2019 14:00;26.07.2019 15:00;0,221
26.07.2019 15:00;26.07.2019 16:00;0,222
26.07.2019 16:00;26.07.2019 17:00;0,221
26.07.2019 17:00;26.07.2019 18:00;0,221
26.07.2019 18:00;26.07.2019 19:00;0,221
26.07.2019 19:00;26.07.2019 20:00;0,222
26.07.2019 20:00;26.07.2019 21:00;0,169
26.07.2019 21:00;26.07.2019 22:00;0,144
26.07.2019 22:00;26.07.2019 23:00;0,213
26.07.2019 23:00;27.07.2019 00:00;1,083
