Fra;Til;KWH 60 Forbruk
01.11.2019 00:00;01.11.2019 01:00;1,294
01.11.2019 01:00;01.11.2019 02:00;1,502
01.11.2019 02:00;01.11.2019 03:00;1,571
01.11.2019 03:00;01.11.2019 04:00;1,529
01.11.2019 04:00;01.11.2019 05:00;1,432
01.11.2019 05:00;01.11.2019 06:00;2,477
01.11.2019 06:00;01.11.2019 07:00;1,778
01.11.2019 07:00;01.11.2019 08:00;3,69
01.11.2019 08:00;01.11.2019 09:00;2,288
01.11.2019 09:00;01.11.2019 10:00;1,574
01.11.2019 10:00;01.11.2019 11:00;1,586
01.11.2019 11:00;01.11.2019 12:00;1,505
01.11.2019 12:00;01.11.2019 13:00;1,352
01.11.2019 13:00;01.11.2019 14:00;1,464
01.11.2019 14:00;01.11.2019 15:00;1,658
01.11.2019 15:00;01.11.2019 16:00;2,176
01.11.2019 16:00;01.11.2019 17:00;1,847
01.11.2019 17:00;01.11.2019 18:00;2,108
01.11.2019 18:00;01.11.2019 19:00;1,883
01.11.2019 19:00;01.11.2019 20:00;3,44
01.11.2019 20:00;01.11.2019 21:00;2,079
01.11.2019 21:00;01.11.2019 22:00;1,678
01.11.2019 22:00;01.11.2019 23:00;1,173
01.11.2019 23:00;02.11.2019 00:00;1,14
02.11.2019 00:00;02.11.2019 01:00;1,017
02.11.2019 01:00;02.11.2019 02:00;1,203
02.11.2019 02:00;02.11.2019 03:00;1,39
02.11.2019 03:00;02.11.2019 04:00;1,657
02.11.2019 04:00;02.11.2019 05:00;1,185
02.11.2019 05:00;02.11.2019 06:00;1,227
02.11.2019 06:00;02.11.2019 07:00;1,433
02.11.2019 07:00;02.11.2019 08:00;1,142
02.11.2019 08:00;02.11.2019 09:00;1,419
02.11.2019 09:00;02.11.2019 10:00;1,137
02.11.2019 10:00;02.11.2019 11:00;1,065
02.11.2019 11:00;02.11.2019 12:00;1,889
02.11.2019 12:00;02.11.2019 13:00;0,971
02.11.2019 13:00;02.11.2019 14:00;1,149
02.11.2019 14:00;02.11.2019 15:00;1,097
02.11.2019 15:00;02.11.2019 16:00;1,111
02.11.2019 16:00;02.11.2019 17:00;1,115
02.11.2019 17:00;02.11.2019 18:00;1,113
02.11.2019 18:00;02.11.2019 19:00;1,172
02.11.2019 19:00;02.11.2019 20:00;1,192
02.11.2019 20:00;02.11.2019 21:00;1,45
02.11.2019 21:00;02.11.2019 22:00;1,886
02.11.2019 22:00;02.11.2019 23:00;0,903
02.11.2019 23:00;03.11.2019 00:00;1,049
03.11.2019 00:00;03.11.2019 01:00;1,061
03.11.2019 01:00;03.11.2019 02:00;1,162
03.11.2019 02:00;03.11.2019 03:00;1,13
03.11.2019 03:00;03.11.2019 04:00;0,992
03.11.2019 04:00;03.11.2019 05:00;1,049
03.11.2019 05:00;03.11.2019 06:00;1,18
03.11.2019 06:00;03.11.2019 07:00;1,693
03.11.2019 07:00;03.11.2019 08:00;2,313
03.11.2019 08:00;03.11.2019 09:00;1,485
03.11.2019 09:00;03.11.2019 10:00;1,407
03.11.2019 10:00;03.11.2019 11:00;1,372
03.11.2019 11:00;03.11.2019 12:00;1,401
03.11.2019 12:00;03.11.2019 13:00;1,361
03.11.2019 13:00;03.11.2019 14:00;1,34
03.11.2019 14:00;03.11.2019 15:00;1,436
03.11.2019 15:00;03.11.2019 16:00;1,42
03.11.2019 16:00;03.11.2019 17:00;1,285
03.11.2019 17:00;03.11.2019 18:00;4,213
03.11.2019 18:00;03.11.2019 19:00;3,064
03.11.2019 19:00;03.11.2019 20:00;3,226
03.11.2019 20:00;03.11.2019 21:00;3,872
03.11.2019 21:00;03.11.2019 22:00;2,554
03.11.2019 22:00;03.11.2019 23:00;2,102
03.11.2019 23:00;04.11.2019 00:00;1,697
04.11.2019 00:00;04.11.2019 01:00;1,758
04.11.2019 01:00;04.11.2019 02:00;1,862
04.11.2019 02:00;04.11.2019 03:00;1,875
04.11.2019 03:00;04.11.2019 04:00;2,64
04.11.2019 04:00;04.11.2019 05:00;1,8
04.11.2019 05:00;04.11.2019 06:00;1,982
04.11.2019 06:00;04.11.2019 07:00;1,99
04.11.2019 07:00;04.11.2019 08:00;2,04
04.11.2019 08:00;04.11.2019 09:00;2,12
04.11.2019 09:00;04.11.2019 10:00;1,955
04.11.2019 10:00;04.11.2019 11:00;2,48
04.11.2019 11:00;04.11.2019 12:00;1,474
04.11.2019 12:00;04.11.2019 13:00;1,533
04.11.2019 13:00;04.11.2019 14:00;1,518
04.11.2019 14:00;04.11.2019 15:00;1,655
04.11.2019 15:00;04.11.2019 16:00;2,791
04.11.2019 16:00;04.11.2019 17:00;2,25
04.11.2019 17:00;04.11.2019 18:00;3,804
04.11.2019 18:00;04.11.2019 19:00;2,506
04.11.2019 19:00;04.11.2019 20:00;2,312
04.11.2019 20:00;04.11.2019 21:00;2,197
04.11.2019 21:00;04.11.2019 22:00;3,817
04.11.2019 22:00;04.11.2019 23:00;3,079
04.11.2019 23:00;05.11.2019 00:00;1,865
05.11.2019 00:00;05.11.2019 01:00;1,806
05.11.2019 01:00;05.11.2019 02:00;1,692
05.11.2019 02:00;05.11.2019 03:00;1,767
05.11.2019 03:00;05.11.2019 04:00;1,889
05.11.2019 04:00;05.11.2019 05:00;1,919
05.11.2019 05:00;05.11.2019 06:00;1,992
05.11.2019 06:00;05.11.2019 07:00;2,913
05.11.2019 07:00;05.11.2019 08:00;2,107
05.11.2019 08:00;05.11.2019 09:00;1,888
05.11.2019 09:00;05.11.2019 10:00;1,739
05.11.2019 10:00;05.11.2019 11:00;1,85
05.11.2019 11:00;05.11.2019 12:00;1,803
05.11.2019 12:00;05.11.2019 13:00;1,593
05.11.2019 13:00;05.11.2019 14:00;1,679
05.11.2019 14:00;05.11.2019 15:00;2,632
05.11.2019 15:00;05.11.2019 16:00;1,591
05.11.2019 16:00;05.11.2019 17:00;2,012
05.11.2019 17:00;05.11.2019 18:00;3,104
05.11.2019 18:00;05.11.2019 19:00;2,17
05.11.2019 19:00;05.11.2019 20:00;2,293
05.11.2019 20:00;05.11.2019 21:00;3,186
05.11.2019 21:00;05.11.2019 22:00;2,314
05.11.2019 22:00;05.11.2019 23:00;2,36
05.11.2019 23:00;06.11.2019 00:00;2,155
06.11.2019 00:00;06.11.2019 01:00;2,479
06.11.2019 01:00;06.11.2019 02:00;1,892
06.11.2019 02:00;06.11.2019 03:00;1,856
06.11.2019 03:00;06.11.2019 04:00;1,742
06.11.2019 04:00;06.11.2019 05:00;2,8
06.11.2019 05:00;06.11.2019 06:00;1,882
06.11.2019 06:00;06.11.2019 07:00;2,027
06.11.2019 07:00;06.11.2019 08:00;2,175
06.11.2019 08:00;06.11.2019 09:00;2,077
06.11.2019 09:00;06.11.2019 10:00;1,937
06.11.2019 10:00;06.11.2019 11:00;1,712
06.11.2019 11:00;06.11.2019 12:00;1,84
06.11.2019 12:00;06.11.2019 13:00;2,656
06.11.2019 13:00;06.11.2019 14:00;1,841
06.11.2019 14:00;06.11.2019 15:00;1,79
06.11.2019 15:00;06.11.2019 16:00;1,892
06.11.2019 16:00;06.11.2019 17:00;1,885
06.11.2019 17:00;06.11.2019 18:00;3,358
06.11.2019 18:00;06.11.2019 19:00;3,743
06.11.2019 19:00;06.11.2019 20:00;4,414
06.11.2019 20:00;06.11.2019 21:00;3,169
06.11.2019 21:00;06.11.2019 22:00;2,259
06.11.2019 22:00;06.11.2019 23:00;2,051
06.11.2019 23:00;07.11.2019 00:00;1,821
07.11.2019 00:00;07.11.2019 01:00;1,779
07.11.2019 01:00;07.11.2019 02:00;1,855
07.11.2019 02:00;07.11.2019 03:00;2,772
07.11.2019 03:00;07.11.2019 04:00;1,917
07.11.2019 04:00;07.11.2019 05:00;1,988
07.11.2019 05:00;07.11.2019 06:00;1,992
07.11.2019 06:00;07.11.2019 07:00;1,876
07.11.2019 07:00;07.11.2019 08:00;2,212
07.11.2019 08:00;07.11.2019 09:00;1,989
07.11.2019 09:00;07.11.2019 10:00;2,743
