Fra;Til;KWH 60 Forbruk
01.09.2019 00:00;01.09.2019 01:00;0,624
01.09.2019 01:00;01.09.2019 02:00;1,114
01.09.2019 02:00;01.09.2019 03:00;0,243
01.09.2019 03:00;01.09.2019 04:00;0,334
01.09.2019 04:00;01.09.2019 05:00;0,169
01.09.2019 05:00;01.09.2019 06:00;0,249
01.09.2019 06:00;01.09.2019 07:00;0,382
01.09.2019 07:00;01.09.2019 08:00;0,163
01.09.2019 08:00;01.09.2019 09:00;0,552
01.09.2019 09:00;01.09.2019 10:00;0,6
01.09.2019 10:00;01.09.2019 11:00;0,36
01.09.2019 11:00;01.09.2019 12:00;1,061
01.09.2019 12:00;01.09.2019 13:00;0,68
01.09.2019 13:00;01.09.2019 14:00;0,27
01.09.2019 14:00;01.09.2019 15:00;0,887
01.09.2019 15:00;01.09.2019 16:00;0,625
01.09.2019 16:00;01.09.2019 17:00;0,463
01.09.2019 17:00;01.09.2019 18:00;0,669
01.09.2019 18:00;01.09.2019 19:00;0,365
01.09.2019 19:00;01.09.2019 20:00;0,457
01.09.2019 20:00;01.09.2019 21:00;1,796
01.09.2019 21:00;01.09.2019 22:00;0,936
01.09.2019 22:00;01.09.2019 23:00;0,844
01.09.2019 23:00;02.09.2019 00:00;0,274
02.09.2019 00:00;02.09.2019 01:00;0,21
02.09.2019 01:00;02.09.2019 02:00;0,318
02.09.2019 02:00;02.09.2019 03:00;0,201
02.09.2019 03:00;02.09.2019 04:00;0,407
02.09.2019 04:00;02.09.2019 05:00;0,814
02.09.2019 05:00;02.09.2019 06:00;0,585
02.09.2019 06:00;02.09.2019 07:00;0,313
02.09.2019 07:00;02.09.2019 08:00;0,433
02.09.2019 08:00;02.09.2019 09:00;0,299
02.09.2019 09:00;02.09.2019 10:00;0,173
02.09.2019 10:00;02.09.2019 11:00;0,399
02.09.2019 11:00;02.09.2019 12:00;0,162
02.09.2019 12:00;02.09.2019 13:00;0,692
02.09.2019 13:00;02.09.2019 14:00;0,685
02.09.2019 14:00;02.09.2019 15:00;0,38
02.09.2019 15:00;02.09.2019 16:00;0,152
02.09.2019 16:00;02.09.2019 17:00;0,366
02.09.2019 17:00;02.09.2019 18:00;1,707
02.09.2019 18:00;02.09.2019 19:00;0,765
02.09.2019 19:00;02.09.2019 20:00;2,329
02.09.2019 20:00;02.09.2019 21:00;0,863
02.09.2019 21:00;02.09.2019 22:00;1,099
02.09.2019 22:00;02.09.2019 23:00;1,758
02.09.2019 23:00;03.09.2019 00:00;0,321
03.09.2019 00:00;03.09.2019 01:00;0,302
