Fra;Til;KWH 60 Forbruk
01.08.2019 00:00;01.08.2019 01:00;0,243
01.08.2019 01:00;01.08.2019 02:00;0,247
01.08.2019 02:00;01.08.2019 03:00;0,239
01.08.2019 03:00;01.08.2019 04:00;0,168
01.08.2019 04:00;01.08.2019 05:00;0,161
01.08.2019 05:00;01.08.2019 06:00;0,226
01.08.2019 06:00;01.08.2019 07:00;1,08
01.08.2019 07:00;01.08.2019 08:00;0,178
01.08.2019 08:00;01.08.2019 09:00;0,168
01.08.2019 09:00;01.08.2019 10:00;0,522
01.08.2019 10:00;01.08.2019 11:00;0,259
01.08.2019 11:00;01.08.2019 12:00;0,353
01.08.2019 12:00;01.08.2019 13:00;0,833
01.08.2019 13:00;01.08.2019 14:00;0,775
01.08.2019 14:00;01.08.2019 15:00;0,237
01.08.2019 15:00;01.08.2019 16:00;0,177
01.08.2019 16:00;01.08.2019 17:00;0,161
01.08.2019 17:00;01.08.2019 18:00;0,796
01.08.2019 18:00;01.08.2019 19:00;0,316
01.08.2019 19:00;01.08.2019 20:00;2,005
01.08.2019 20:00;01.08.2019 21:00;0,841
01.08.2019 21:00;01.08.2019 22:00;1,738
01.08.2019 22:00;01.08.2019 23:00;0,822
01.08.2019 23:00;02.08.2019 00:00;0,916
02.08.2019 00:00;02.08.2019 01:00;0,193
02.08.2019 01:00;02.08.2019 02:00;0,247
02.08.2019 02:00;02.08.2019 03:00;0,242
02.08.2019 03:00;02.08.2019 04:00;0,193
02.08.2019 04:00;02.08.2019 05:00;0,165
02.08.2019 05:00;02.08.2019 06:00;1,113
02.08.2019 06:00;02.08.2019 07:00;0,244
02.08.2019 07:00;02.08.2019 08:00;0,213
02.08.2019 08:00;02.08.2019 09:00;2,409
02.08.2019 09:00;02.08.2019 10:00;0,294
02.08.2019 10:00;02.08.2019 11:00;0,356
02.08.2019 11:00;02.08.2019 12:00;0,263
02.08.2019 12:00;02.08.2019 13:00;0,161
02.08.2019 13:00;02.08.2019 14:00;0,189
02.08.2019 14:00;02.08.2019 15:00;0,244
02.08.2019 15:00;02.08.2019 16:00;0,239
02.08.2019 16:00;02.08.2019 17:00;1,093
02.08.2019 17:00;02.08.2019 18:00;0,161
02.08.2019 18:00;02.08.2019 19:00;0,208
02.08.2019 19:00;02.08.2019 20:00;0,267
02.08.2019 20:00;02.08.2019 21:00;0,3
02.08.2019 21:00;02.08.2019 22:00;0,419
02.08.2019 22:00;02.08.2019 23:00;0,634
02.08.2019 23:00;03.08.2019 00:00;0,664
03.08.2019 00:00;03.08.2019 01:00;0,422
03.08.2019 01:00;03.08.2019 02:00;0,261
03.08.2019 02:00;03.08.2019 03:00;1,031
03.08.2019 03:00;03.08.2019 04:00;0,197
