Fra;Til;KWH 60 Forbruk
01.12.2019 00:00;01.12.2019 01:00;2,022
01.12.2019 01:00;01.12.2019 02:00;1,993
01.12.2019 02:00;01.12.2019 03:00;2,931
01.12.2019 03:00;01.12.2019 04:00;1,983
01.12.2019 04:00;01.12.2019 05:00;2,103
01.12.2019 05:00;01.12.2019 06:00;2,124
01.12.2019 06:00;01.12.2019 07:00;2,096
01.12.2019 07:00;01.12.2019 08:00;2,266
01.12.2019 08:00;01.12.2019 09:00;3,444
01.12.2019 09:00;01.12.2019 10:00;3,195
01.12.2019 10:00;01.12.2019 11:00;2,304
01.12.2019 11:00;01.12.2019 12:00;2,422
01.12.2019 12:00;01.12.2019 13:00;2,337
01.12.2019 13:00;01.12.2019 14:00;1,817
01.12.2019 14:00;01.12.2019 15:00;1,844
01.12.2019 15:00;01.12.2019 16:00;1,963
01.12.2019 16:00;01.12.2019 17:00;2,727
01.12.2019 17:00;01.12.2019 18:00;2,675
01.12.2019 18:00;01.12.2019 19:00;3,591
01.12.2019 19:00;01.12.2019 20:00;3,981
01.12.2019 20:00;01.12.2019 21:00;2,722
01.12.2019 21:00;01.12.2019 22:00;2,749
01.12.2019 22:00;01.12.2019 23:00;3,81
01.12.2019 23:00;02.12.2019 00:00;4,034
02.12.2019 00:00;02.12.2019 01:00;2,099
02.12.2019 01:00;02.12.2019 02:00;2,038
02.12.2019 02:00;02.12.2019 03:00;2,089
02.12.2019 03:00;02.12.2019 04:00;2,2
02.12.2019 04:00;02.12.2019 05:00;2,227
02.12.2019 05:00;02.12.2019 06:00;2,317
02.12.2019 06:00;02.12.2019 07:00;2,232
02.12.2019 07:00;02.12.2019 08:00;3,584
02.12.2019 08:00;02.12.2019 09:00;2,48
02.12.2019 09:00;02.12.2019 10:00;2,314
02.12.2019 10:00;02.12.2019 11:00;2,204
02.12.2019 11:00;02.12.2019 12:00;2,335
02.12.2019 12:00;02.12.2019 13:00;2,094
02.12.2019 13:00;02.12.2019 14:00;1,925
02.12.2019 14:00;02.12.2019 15:00;2,717
02.12.2019 15:00;02.12.2019 16:00;2,459
02.12.2019 16:00;02.12.2019 17:00;2,835
02.12.2019 17:00;02.12.2019 18:00;2,649
02.12.2019 18:00;02.12.2019 19:00;2,715
02.12.2019 19:00;02.12.2019 20:00;4,553
02.12.2019 20:00;02.12.2019 21:00;4,039
02.12.2019 21:00;02.12.2019 22:00;3,264
02.12.2019 22:00;02.12.2019 23:00;2,48
02.12.2019 23:00;03.12.2019 00:00;2,169
03.12.2019 00:00;03.12.2019 01:00;2,279
03.12.2019 01:00;03.12.2019 02:00;2,102
03.12.2019 02:00;03.12.2019 03:00;2,212
03.12.2019 03:00;03.12.2019 04:00;3,214
03.12.2019 04:00;03.12.2019 05:00;2,424
03.12.2019 05:00;03.12.2019 06:00;2,277
03.12.2019 06:00;03.12.2019 07:00;2,174
03.12.2019 07:00;03.12.2019 08:00;2,466
03.12.2019 08:00;03.12.2019 09:00;1,991
03.12.2019 09:00;03.12.2019 10:00;1,993
03.12.2019 10:00;03.12.2019 11:00;2,204
03.12.2019 11:00;03.12.2019 12:00;2,888
03.12.2019 12:00;03.12.2019 13:00;1,894
03.12.2019 13:00;03.12.2019 14:00;2,132
03.12.2019 14:00;03.12.2019 15:00;2,104
03.12.2019 15:00;03.12.2019 16:00;1,986
03.12.2019 16:00;03.12.2019 17:00;2,049
03.12.2019 17:00;03.12.2019 18:00;2,668
03.12.2019 18:00;03.12.2019 19:00;2,827
03.12.2019 19:00;03.12.2019 20:00;2,74
03.12.2019 20:00;03.12.2019 21:00;2,634
03.12.2019 21:00;03.12.2019 22:00;2,392
03.12.2019 22:00;03.12.2019 23:00;2,048
03.12.2019 23:00;04.12.2019 00:00;2,346
04.12.2019 00:00;04.12.2019 01:00;2,455
04.12.2019 01:00;04.12.2019 02:00;1,852
04.12.2019 02:00;04.12.2019 03:00;1,871
04.12.2019 03:00;04.12.2019 04:00;2,584
04.12.2019 04:00;04.12.2019 05:00;2,11
04.12.2019 05:00;04.12.2019 06:00;1,864
04.12.2019 06:00;04.12.2019 07:00;1,969
04.12.2019 07:00;04.12.2019 08:00;2,372
04.12.2019 08:00;04.12.2019 09:00;1,899
04.12.2019 09:00;04.12.2019 10:00;1,89
04.12.2019 10:00;04.12.2019 11:00;2,718
04.12.2019 11:00;04.12.2019 12:00;1,972
