Fra;Til;KWH 60 Forbruk
01.01.2020 00:00;01.01.2020 01:00;0,415
01.01.2020 01:00;01.01.2020 02:00;0,493
01.01.2020 02:00;01.01.2020 03:00;0,549
01.01.2020 03:00;01.01.2020 04:00;0,495
01.01.2020 04:00;01.01.2020 05:00;0,67
01.01.2020 05:00;01.01.2020 06:00;1,456
01.01.2020 06:00;01.01.2020 07:00;2,088
01.01.2020 07:00;01.01.2020 08:00;0,463
01.01.2020 08:00;01.01.2020 09:00;0,491
01.01.2020 09:00;01.01.2020 10:00;0,492
01.01.2020 10:00;01.01.2020 11:00;0,524
01.01.2020 11:00;01.01.2020 12:00;0,534
01.01.2020 12:00;01.01.2020 13:00;0,577
01.01.2020 13:00;01.01.2020 14:00;0,758
01.01.2020 14:00;01.01.2020 15:00;1,436
01.01.2020 15:00;01.01.2020 16:00;2,264
01.01.2020 16:00;01.01.2020 17:00;5,817
01.01.2020 17:00;01.01.2020 18:00;8,974
01.01.2020 18:00;01.01.2020 19:00;8,126
01.01.2020 19:00;01.01.2020 20:00;6,418
01.01.2020 20:00;01.01.2020 21:00;5,438
01.01.2020 21:00;01.01.2020 22:00;4,31
01.01.2020 22:00;01.01.2020 23:00;3,795
01.01.2020 23:00;02.01.2020 00:00;3,488
02.01.2020 00:00;02.01.2020 01:00;2,989
02.01.2020 01:00;02.01.2020 02:00;3,888
02.01.2020 02:00;02.01.2020 03:00;2,665
02.01.2020 03:00;02.01.2020 04:00;2,651
02.01.2020 04:00;02.01.2020 05:00;2,624
02.01.2020 05:00;02.01.2020 06:00;2,377
02.01.2020 06:00;02.01.2020 07:00;2,499
02.01.2020 07:00;02.01.2020 08:00;3,767
02.01.2020 08:00;02.01.2020 09:00;2,583
02.01.2020 09:00;02.01.2020 10:00;2,683
02.01.2020 10:00;02.01.2020 11:00;3,907
02.01.2020 11:00;02.01.2020 12:00;2,296
02.01.2020 12:00;02.01.2020 13:00;2,294
02.01.2020 13:00;02.01.2020 14:00;2,033
02.01.2020 14:00;02.01.2020 15:00;2,161
02.01.2020 15:00;02.01.2020 16:00;2,756
02.01.2020 16:00;02.01.2020 17:00;3,611
02.01.2020 17:00;02.01.2020 18:00;2,075
02.01.2020 18:00;02.01.2020 19:00;1,677
02.01.2020 19:00;02.01.2020 20:00;2,858
02.01.2020 20:00;02.01.2020 21:00;2,575
02.01.2020 21:00;02.01.2020 22:00;1,179
02.01.2020 22:00;02.01.2020 23:00;1,317
02.01.2020 23:00;03.01.2020 00:00;0,997
03.01.2020 00:00;03.01.2020 01:00;1,072
03.01.2020 01:00;03.01.2020 02:00;1,1
03.01.2020 02:00;03.01.2020 03:00;1,172
03.01.2020 03:00;03.01.2020 04:00;2,13
03.01.2020 04:00;03.01.2020 05:00;1,294
03.01.2020 05:00;03.01.2020 06:00;1,203
03.01.2020 06:00;03.01.2020 07:00;1,203
03.01.2020 07:00;03.01.2020 08:00;1,217
03.01.2020 08:00;03.01.2020 09:00;1,461
03.01.2020 09:00;03.01.2020 10:00;1,437
03.01.2020 10:00;03.01.2020 11:00;1,376
03.01.2020 11:00;03.01.2020 12:00;2,192
03.01.2020 12:00;03.01.2020 13:00;1,174
03.01.2020 13:00;03.01.2020 14:00;0,876
03.01.2020 14:00;03.01.2020 15:00;1,287
03.01.2020 15:00;03.01.2020 16:00;2,378
03.01.2020 16:00;03.01.2020 17:00;1,835
03.01.2020 17:00;03.01.2020 18:00;2,578
03.01.2020 18:00;03.01.2020 19:00;5,469
03.01.2020 19:00;03.01.2020 20:00;2,075
03.01.2020 20:00;03.01.2020 21:00;1,87
03.01.2020 21:00;03.01.2020 22:00;1,634
03.01.2020 22:00;03.01.2020 23:00;1,889
03.01.2020 23:00;04.01.2020 00:00;2,468
04.01.2020 00:00;04.01.2020 01:00;1,884
04.01.2020 01:00;04.01.2020 02:00;1,508
04.01.2020 02:00;04.01.2020 03:00;1,689
04.01.2020 03:00;04.01.2020 04:00;1,375
04.01.2020 04:00;04.01.2020 05:00;1,451
04.01.2020 05:00;04.01.2020 06:00;1,714
04.01.2020 06:00;04.01.2020 07:00;1,644
04.01.2020 07:00;04.01.2020 08:00;2,281
04.01.2020 08:00;04.01.2020 09:00;1,731
04.01.2020 09:00;04.01.2020 10:00;1,879
04.01.2020 10:00;04.01.2020 11:00;1,91
04.01.2020 11:00;04.01.2020 12:00;1,607
04.01.2020 12:00;04.01.2020 13:00;1,372
04.01.2020 13:00;04.01.2020 14:00;2,456
04.01.2020 14:00;04.01.2020 15:00;3,219
04.01.2020 15:00;04.01.2020 16:00;2,583
04.01.2020 16:00;04.01.2020 17:00;3,007
04.01.2020 17:00;04.01.2020 18:00;2,507
04.01.2020 18:00;04.01.2020 19:00;1,95
04.01.2020 19:00;04.01.2020 20:00;1,796
04.01.2020 20:00;04.01.2020 21:00;1,699
04.01.2020 21:00;04.01.2020 22:00;1,832
04.01.2020 22:00;04.01.2020 23:00;1,73
04.01.2020 23:00;05.01.2020 00:00;2,277
05.01.2020 00:00;05.01.2020 01:00;1,573
05.01.2020 01:00;05.01.2020 02:00;1,629
05.01.2020 02:00;05.01.2020 03:00;1,543
05.01.2020 03:00;05.01.2020 04:00;1,551
05.01.2020 04:00;05.01.2020 05:00;1,641
05.01.2020 05:00;05.01.2020 06:00;1,828
05.01.2020 06:00;05.01.2020 07:00;1,665
05.01.2020 07:00;05.01.2020 08:00;1,741
05.01.2020 08:00;05.01.2020 09:00;3,134
05.01.2020 09:00;05.01.2020 10:00;3,006
05.01.2020 10:00;05.01.2020 11:00;4,3
05.01.2020 11:00;05.01.2020 12:00;2,989
05.01.2020 12:00;05.01.2020 13:00;3,263
05.01.2020 13:00;05.01.2020 14:00;2,191
05.01.2020 14:00;05.01.2020 15:00;2,124
05.01.2020 15:00;05.01.2020 16:00;3,573
05.01.2020 16:00;05.01.2020 17:00;2,469
05.01.2020 17:00;05.01.2020 18:00;1,847
05.01.2020 18:00;05.01.2020 19:00;3,457
05.01.2020 19:00;05.01.2020 20:00;3,766
05.01.2020 20:00;05.01.2020 21:00;3,779
05.01.2020 21:00;05.01.2020 22:00;3,513
05.01.2020 22:00;05.01.2020 23:00;1,397
05.01.2020 23:00;06.01.2020 00:00;1,175
06.01.2020 00:00;06.01.2020 01:00;1,149
06.01.2020 01:00;06.01.2020 02:00;1,299
06.01.2020 02:00;06.01.2020 03:00;1,405
06.01.2020 03:00;06.01.2020 04:00;1,514
06.01.2020 04:00;06.01.2020 05:00;1,556
06.01.2020 05:00;06.01.2020 06:00;1,411
06.01.2020 06:00;06.01.2020 07:00;2,358
06.01.2020 07:00;06.01.2020 08:00;1,879
06.01.2020 08:00;06.01.2020 09:00;1,887
06.01.2020 09:00;06.01.2020 10:00;1,869
06.01.2020 10:00;06.01.2020 11:00;1,63
06.01.2020 11:00;06.01.2020 12:00;1,466
06.01.2020 12:00;06.01.2020 13:00;2,133
06.01.2020 13:00;06.01.2020 14:00;2,861
06.01.2020 14:00;06.01.2020 15:00;1,967
06.01.2020 15:00;06.01.2020 16:00;2,934
06.01.2020 16:00;06.01.2020 17:00;2,654
06.01.2020 17:00;06.01.2020 18:00;2,271
06.01.2020 18:00;06.01.2020 19:00;3,112
06.01.2020 19:00;06.01.2020 20:00;1,894
06.01.2020 20:00;06.01.2020 21:00;1,706
06.01.2020 21:00;06.01.2020 22:00;1,837
06.01.2020 22:00;06.01.2020 23:00;2,477
06.01.2020 23:00;07.01.2020 00:00;2,19
07.01.2020 00:00;07.01.2020 01:00;1,624
07.01.2020 01:00;07.01.2020 02:00;1,254
07.01.2020 02:00;07.01.2020 03:00;1,454
07.01.2020 03:00;07.01.2020 04:00;1,396
07.01.2020 04:00;07.01.2020 05:00;1,639
07.01.2020 05:00;07.01.2020 06:00;1,43
07.01.2020 06:00;07.01.2020 07:00;2,169
07.01.2020 07:00;07.01.2020 08:00;2,229
07.01.2020 08:00;07.01.2020 09:00;1,591
07.01.2020 09:00;07.01.2020 10:00;1,346
07.01.2020 10:00;07.01.2020 11:00;1,588
07.01.2020 11:00;07.01.2020 12:00;1,582
07.01.2020 12:00;07.01.2020 13:00;1,466
07.01.2020 13:00;07.01.2020 14:00;1,515
07.01.2020 14:00;07.01.2020 15:00;1,498
07.01.2020 15:00;07.01.2020 16:00;1,545
07.01.2020 16:00;07.01.2020 17:00;2,747
07.01.2020 17:00;07.01.2020 18:00;2,265
07.01.2020 18:00;07.01.2020 19:00;2,364
07.01.2020 19:00;07.01.2020 20:00;3,166
07.01.2020 20:00;07.01.2020 21:00;1,794
07.01.2020 21:00;07.01.2020 22:00;1,916
07.01.2020 22:00;07.01.2020 23:00;1,504
07.01.2020 23:00;08.01.2020 00:00;1,145
08.01.2020 00:00;08.01.2020 01:00;1,413
08.01.2020 01:00;08.01.2020 02:00;1,278
08.01.2020 02:00;08.01.2020 03:00;2,03
08.01.2020 03:00;08.01.2020 04:00;1,427
08.01.2020 04:00;08.01.2020 05:00;1,33
08.01.2020 05:00;08.01.2020 06:00;1,142
08.01.2020 06:00;08.01.2020 07:00;1,562
08.01.2020 07:00;08.01.2020 08:00;1,422
08.01.2020 08:00;08.01.2020 09:00;1,099
08.01.2020 09:00;08.01.2020 10:00;1,517
08.01.2020 10:00;08.01.2020 11:00;2,099
08.01.2020 11:00;08.01.2020 12:00;1,088
08.01.2020 12:00;08.01.2020 13:00;1,181
08.01.2020 13:00;08.01.2020 14:00;1,175
08.01.2020 14:00;08.01.2020 15:00;1,109
08.01.2020 15:00;08.01.2020 16:00;1,131
08.01.2020 16:00;08.01.2020 17:00;1,755
08.01.2020 17:00;08.01.2020 18:00;2,77
08.01.2020 18:00;08.01.2020 19:00;1,711
08.01.2020 19:00;08.01.2020 20:00;1,992
08.01.2020 20:00;08.01.2020 21:00;1,99
08.01.2020 21:00;08.01.2020 22:00;3,558
08.01.2020 22:00;08.01.2020 23:00;2,236
08.01.2020 23:00;09.01.2020 00:00;1,256
09.01.2020 00:00;09.01.2020 01:00;1,269
09.01.2020 01:00;09.01.2020 02:00;1,298
09.01.2020 02:00;09.01.2020 03:00;1,358
09.01.2020 03:00;09.01.2020 04:00;1,485
09.01.2020 04:00;09.01.2020 05:00;1,597
09.01.2020 05:00;09.01.2020 06:00;1,701
09.01.2020 06:00;09.01.2020 07:00;2,064
09.01.2020 07:00;09.01.2020 08:00;1,68
09.01.2020 08:00;09.01.2020 09:00;1,472
09.01.2020 09:00;09.01.2020 10:00;1,644
09.01.2020 10:00;09.01.2020 11:00;2,523
09.01.2020 11:00;09.01.2020 12:00;1,677
09.01.2020 12:00;09.01.2020 13:00;1,413
09.01.2020 13:00;09.01.2020 14:00;1,664
09.01.2020 14:00;09.01.2020 15:00;1,735
09.01.2020 15:00;09.01.2020 16:00;1,384
09.01.2020 16:00;09.01.2020 17:00;2,783
09.01.2020 17:00;09.01.2020 18:00;3,694
09.01.2020 18:00;09.01.2020 19:00;2,526
09.01.2020 19:00;09.01.2020 20:00;2,623
09.01.2020 20:00;09.01.2020 21:00;1,802
09.01.2020 21:00;09.01.2020 22:00;1,915
09.01.2020 22:00;09.01.2020 23:00;1,521
09.01.2020 23:00;10.01.2020 00:00;1,803
10.01.2020 00:00;10.01.2020 01:00;2,009
10.01.2020 01:00;10.01.2020 02:00;1,252
10.01.2020 02:00;10.01.2020 03:00;1,581
10.01.2020 03:00;10.01.2020 04:00;1,609
10.01.2020 04:00;10.01.2020 05:00;1,461
10.01.2020 05:00;10.01.2020 06:00;1,622
10.01.2020 06:00;10.01.2020 07:00;1,648
10.01.2020 07:00;10.01.2020 08:00;2,092
10.01.2020 08:00;10.01.2020 09:00;2,272
10.01.2020 09:00;10.01.2020 10:00;1,677
10.01.2020 10:00;10.01.2020 11:00;1,792
10.01.2020 11:00;10.01.2020 12:00;1,513
10.01.2020 12:00;10.01.2020 13:00;1,52
10.01.2020 13:00;10.01.2020 14:00;1,642
10.01.2020 14:00;10.01.2020 15:00;1,445
10.01.2020 15:00;10.01.2020 16:00;1,42
10.01.2020 16:00;10.01.2020 17:00;2,451
10.01.2020 17:00;10.01.2020 18:00;3,973
10.01.2020 18:00;10.01.2020 19:00;2,481
10.01.2020 19:00;10.01.2020 20:00;1,761
10.01.2020 20:00;10.01.2020 21:00;4,215
10.01.2020 21:00;10.01.2020 22:00;4,062
