Fra;Til;KWH 60 Forbruk
01.10.2019 00:00;01.10.2019 01:00;0,762
01.10.2019 01:00;01.10.2019 02:00;0,855
01.10.2019 02:00;01.10.2019 03:00;0,834
01.10.2019 03:00;01.10.2019 04:00;0,85
01.10.2019 04:00;01.10.2019 05:00;0,723
01.10.2019 05:00;01.10.2019 06:00;1,124
01.10.2019 06:00;01.10.2019 07:00;1,868
01.10.2019 07:00;01.10.2019 08:00;0,896
01.10.2019 08:00;01.10.2019 09:00;1,055
01.10.2019 09:00;01.10.2019 10:00;1,099
01.10.2019 10:00;01.10.2019 11:00;1,439
01.10.2019 11:00;01.10.2019 12:00;1,824
01.10.2019 12:00;01.10.2019 13:00;0,984
01.10.2019 13:00;01.10.2019 14:00;0,509
01.10.2019 14:00;01.10.2019 15:00;0,89
01.10.2019 15:00;01.10.2019 16:00;1,42
01.10.2019 16:00;01.10.2019 17:00;0,655
01.10.2019 17:00;01.10.2019 18:00;1,233
01.10.2019 18:00;01.10.2019 19:00;0,996
01.10.2019 19:00;01.10.2019 20:00;1,162
01.10.2019 20:00;01.10.2019 21:00;0,657
01.10.2019 21:00;01.10.2019 22:00;2,67
01.10.2019 22:00;01.10.2019 23:00;2,675
01.10.2019 23:00;02.10.2019 00:00;0,917
02.10.2019 00:00;02.10.2019 01:00;0,605
02.10.2019 01:00;02.10.2019 02:00;0,651
02.10.2019 02:00;02.10.2019 03:00;0,728
02.10.2019 03:00;02.10.2019 04:00;0,823
02.10.2019 04:00;02.10.2019 05:00;0,678
02.10.2019 05:00;02.10.2019 06:00;0,804
02.10.2019 06:00;02.10.2019 07:00;1,327
02.10.2019 07:00;02.10.2019 08:00;1,628
02.10.2019 08:00;02.10.2019 09:00;1,271
02.10.2019 09:00;02.10.2019 10:00;0,918
02.10.2019 10:00;02.10.2019 11:00;0,723
02.10.2019 11:00;02.10.2019 12:00;0,931
02.10.2019 12:00;02.10.2019 13:00;0,99
02.10.2019 13:00;02.10.2019 14:00;0,758
