;Hours;Oslo
01.01.2020;00 - 01;313,86
01.01.2020;01 - 02;313,36
01.01.2020;02 - 03;311,39
01.01.2020;03 - 04;308,53
01.01.2020;04 - 05;303,01
01.01.2020;05 - 06;298,57
01.01.2020;06 - 07;297,58
01.01.2020;07 - 08;297,29
01.01.2020;08 - 09;300,74
01.01.2020;09 - 10;301,72
01.01.2020;10 - 11;298,57
01.01.2020;11 - 12;299,26
01.01.2020;12 - 13;301,72
01.01.2020;13 - 14;299,65
01.01.2020;14 - 15;301,82
01.01.2020;15 - 16;306,66
01.01.2020;16 - 17;311
01.01.2020;17 - 18;313,46
01.01.2020;18 - 19;312,08
01.01.2020;19 - 20;310,11
01.01.2020;20 - 21;309,22
01.01.2020;21 - 22;306,46
01.01.2020;22 - 23;305,37
01.01.2020;23 - 00;301,92
02.01.2020;00 - 01;302,35
02.01.2020;01 - 02;300,97
02.01.2020;02 - 03;298,91
02.01.2020;03 - 04;293,11
02.01.2020;04 - 05;293,7
02.01.2020;05 - 06;299,01
02.01.2020;06 - 07;311,19
02.01.2020;07 - 08;312,27
02.01.2020;08 - 09;312,66
02.01.2020;09 - 10;311,78
02.01.2020;10 - 11;310,7
02.01.2020;11 - 12;307,65
02.01.2020;12 - 13;305,19
02.01.2020;13 - 14;305,1
02.01.2020;14 - 15;305,19
02.01.2020;15 - 16;307,06
02.01.2020;16 - 17;308,53
02.01.2020;17 - 18;308,44
02.01.2020;18 - 19;305,49
02.01.2020;19 - 20;302,05
02.01.2020;20 - 21;299,3
02.01.2020;21 - 22;295,67
02.01.2020;22 - 23;291,84
02.01.2020;23 - 00;278,18
03.01.2020;00 - 01;279,32
03.01.2020;01 - 02;278,33
03.01.2020;02 - 03;278,23
03.01.2020;03 - 04;273,11
03.01.2020;04 - 05;273,01
03.01.2020;05 - 06;276,75
03.01.2020;06 - 07;283,55
03.01.2020;07 - 08;283,95
03.01.2020;08 - 09;288,28
03.01.2020;09 - 10;292,22
03.01.2020;10 - 11;294,78
03.01.2020;11 - 12;299,12
03.01.2020;12 - 13;299,41
03.01.2020;13 - 14;297,94
03.01.2020;14 - 15;297,44
03.01.2020;15 - 16;299,51
03.01.2020;16 - 17;300,3
03.01.2020;17 - 18;299,91
03.01.2020;18 - 19;297,15
03.01.2020;19 - 20;293,11
03.01.2020;20 - 21;285,52
03.01.2020;21 - 22;278,43
03.01.2020;22 - 23;277,54
03.01.2020;23 - 00;279,41
04.01.2020;00 - 01;282,19
04.01.2020;01 - 02;282,09
04.01.2020;02 - 03;281,6
04.01.2020;03 - 04;275,01
04.01.2020;04 - 05;271,36
04.01.2020;05 - 06;270,38
04.01.2020;06 - 07;273,23
04.01.2020;07 - 08;276,48
04.01.2020;08 - 09;281,21
04.01.2020;09 - 10;282,58
04.01.2020;10 - 11;283,67
04.01.2020;11 - 12;283,86
04.01.2020;12 - 13;283,37
04.01.2020;13 - 14;283,08
04.01.2020;14 - 15;283,37
04.01.2020;15 - 16;284,45
04.01.2020;16 - 17;285,54
04.01.2020;17 - 18;286,03
04.01.2020;18 - 19;291,15
04.01.2020;19 - 20;291,15
04.01.2020;20 - 21;294,89
04.01.2020;21 - 22;295,77
04.01.2020;22 - 23;296,17
04.01.2020;23 - 00;303,45
05.01.2020;00 - 01;316,04
05.01.2020;01 - 02;308,25
05.01.2020;02 - 03;305,39
05.01.2020;03 - 04;298,29
05.01.2020;04 - 05;295,53
05.01.2020;05 - 06;294,83
05.01.2020;06 - 07;299,67
05.01.2020;07 - 08;299,27
05.01.2020;08 - 09;306,38
05.01.2020;09 - 10;307,56
05.01.2020;10 - 11;311,7
05.01.2020;11 - 12;311,21
05.01.2020;12 - 13;307,95
05.01.2020;13 - 14;305,09
05.01.2020;14 - 15;302,53
05.01.2020;15 - 16;303,71
05.01.2020;16 - 17;307,36
05.01.2020;17 - 18;311,01
05.01.2020;18 - 19;306,77
05.01.2020;19 - 20;300,06
05.01.2020;20 - 21;294,64
05.01.2020;21 - 22;292,07
05.01.2020;22 - 23;290,59
05.01.2020;23 - 00;291,19
06.01.2020;00 - 01;287,63
06.01.2020;01 - 02;286,75
06.01.2020;02 - 03;286,85
06.01.2020;03 - 04;282,7
06.01.2020;04 - 05;286,85
06.01.2020;05 - 06;292,47
06.01.2020;06 - 07;302,92
06.01.2020;07 - 08;304,99
06.01.2020;08 - 09;304,8
06.01.2020;09 - 10;304,6
06.01.2020;10 - 11;306,97
06.01.2020;11 - 12;308,05
06.01.2020;12 - 13;307,66
06.01.2020;13 - 14;306,57
06.01.2020;14 - 15;307,86
06.01.2020;15 - 16;308,74
06.01.2020;16 - 17;313,28
06.01.2020;17 - 18;313,08
06.01.2020;18 - 19;308,84
06.01.2020;19 - 20;305,29
06.01.2020;20 - 21;301,64
06.01.2020;21 - 22;298,68
06.01.2020;22 - 23;290,59
06.01.2020;23 - 00;286,75
07.01.2020;00 - 01;278,61
07.01.2020;01 - 02;279,2
07.01.2020;02 - 03;280,48
07.01.2020;03 - 04;276,94
07.01.2020;04 - 05;282,75
07.01.2020;05 - 06;290,24
07.01.2020;06 - 07;295,16
07.01.2020;07 - 08;305,01
07.01.2020;08 - 09;306,89
07.01.2020;09 - 10;304,92
07.01.2020;10 - 11;302,45
07.01.2020;11 - 12;301,17
07.01.2020;12 - 13;300,29
