Fra,Til,KWH 60 Forbruk
01.08.2021 00:00,01.08.2021 01:00,"0,117"
01.08.2021 01:00,01.08.2021 02:00,"0,118"
01.08.2021 02:00,01.08.2021 03:00,"0,979"
01.08.2021 03:00,01.08.2021 04:00,"0,178"
01.08.2021 04:00,01.08.2021 05:00,"0,169"
01.08.2021 05:00,01.08.2021 06:00,"0,183"
01.08.2021 06:00,01.08.2021 07:00,"1,266"
01.08.2021 07:00,01.08.2021 08:00,"0,541"
01.08.2021 08:00,01.08.2021 09:00,"0,504"
01.08.2021 09:00,01.08.2021 10:00,"1,689"
01.08.2021 10:00,01.08.2021 11:00,"1,555"
01.08.2021 11:00,01.08.2021 12:00,"2,02"
01.08.2021 12:00,01.08.2021 13:00,"0,553"
01.08.2021 13:00,01.08.2021 14:00,"0,661"
01.08.2021 14:00,01.08.2021 15:00,"1,296"
01.08.2021 15:00,01.08.2021 16:00,"1,165"
01.08.2021 16:00,01.08.2021 17:00,1
01.08.2021 17:00,01.08.2021 18:00,"0,436"
01.08.2021 18:00,01.08.2021 19:00,"0,996"
01.08.2021 19:00,01.08.2021 20:00,"1,215"
01.08.2021 20:00,01.08.2021 21:00,"0,849"
01.08.2021 21:00,01.08.2021 22:00,"1,292"
01.08.2021 22:00,01.08.2021 23:00,"0,417"
01.08.2021 23:00,02.08.2021 00:00,"0,681"
02.08.2021 00:00,02.08.2021 01:00,"0,895"
02.08.2021 01:00,02.08.2021 02:00,"0,136"
02.08.2021 02:00,02.08.2021 03:00,"0,144"
02.08.2021 03:00,02.08.2021 04:00,"0,191"
02.08.2021 04:00,02.08.2021 05:00,"1,016"
02.08.2021 05:00,02.08.2021 06:00,"0,179"
02.08.2021 06:00,02.08.2021 07:00,"0,477"
02.08.2021 07:00,02.08.2021 08:00,"0,421"
02.08.2021 08:00,02.08.2021 09:00,"1,326"
02.08.2021 09:00,02.08.2021 10:00,"0,748"
02.08.2021 10:00,02.08.2021 11:00,"1,155"
02.08.2021 11:00,02.08.2021 12:00,"1,39"
02.08.2021 12:00,02.08.2021 13:00,"0,977"
02.08.2021 13:00,02.08.2021 14:00,"0,242"
02.08.2021 14:00,02.08.2021 15:00,"0,762"
02.08.2021 15:00,02.08.2021 16:00,"0,649"
02.08.2021 16:00,02.08.2021 17:00,"0,801"
02.08.2021 17:00,02.08.2021 18:00,"1,154"
02.08.2021 18:00,02.08.2021 19:00,"0,331"
02.08.2021 19:00,02.08.2021 20:00,"0,288"
02.08.2021 20:00,02.08.2021 21:00,"1,049"
02.08.2021 21:00,02.08.2021 22:00,"1,498"
02.08.2021 22:00,02.08.2021 23:00,"1,056"
02.08.2021 23:00,03.08.2021 00:00,"0,323"
03.08.2021 00:00,03.08.2021 01:00,"0,988"
03.08.2021 01:00,03.08.2021 02:00,"0,182"
03.08.2021 02:00,03.08.2021 03:00,"0,219"
03.08.2021 03:00,03.08.2021 04:00,"0,263"
03.08.2021 04:00,03.08.2021 05:00,"0,96"
03.08.2021 05:00,03.08.2021 06:00,"0,213"
03.08.2021 06:00,03.08.2021 07:00,"0,23"
03.08.2021 07:00,03.08.2021 08:00,"0,922"
03.08.2021 08:00,03.08.2021 09:00,"2,324"
03.08.2021 09:00,03.08.2021 10:00,"1,14"
03.08.2021 10:00,03.08.2021 11:00,"2,097"
03.08.2021 11:00,03.08.2021 12:00,"1,898"
03.08.2021 12:00,03.08.2021 13:00,"0,498"
03.08.2021 13:00,03.08.2021 14:00,"1,128"
03.08.2021 14:00,03.08.2021 15:00,"0,562"
03.08.2021 15:00,03.08.2021 16:00,"0,371"
03.08.2021 16:00,03.08.2021 17:00,"1,356"
03.08.2021 17:00,03.08.2021 18:00,"1,714"
03.08.2021 18:00,03.08.2021 19:00,"0,487"
03.08.2021 19:00,03.08.2021 20:00,"1,428"
03.08.2021 20:00,03.08.2021 21:00,"0,383"
03.08.2021 21:00,03.08.2021 22:00,"1,23"
03.08.2021 22:00,03.08.2021 23:00,"0,405"
03.08.2021 23:00,04.08.2021 00:00,"0,186"
04.08.2021 00:00,04.08.2021 01:00,"0,361"
04.08.2021 01:00,04.08.2021 02:00,"0,631"
04.08.2021 02:00,04.08.2021 03:00,"0,206"
04.08.2021 03:00,04.08.2021 04:00,"0,166"
