Fra,Til,KWH 60 Forbruk
15.06.2021 00:00,15.06.2021 01:00,"0,009"
15.06.2021 01:00,15.06.2021 02:00,"0,951"
15.06.2021 02:00,15.06.2021 03:00,"0,009"
15.06.2021 03:00,15.06.2021 04:00,"0,009"
15.06.2021 04:00,15.06.2021 05:00,"0,009"
15.06.2021 05:00,15.06.2021 06:00,"0,009"
15.06.2021 06:00,15.06.2021 07:00,"0,558"
15.06.2021 07:00,15.06.2021 08:00,"0,364"
15.06.2021 08:00,15.06.2021 09:00,"0,008"
15.06.2021 09:00,15.06.2021 10:00,"0,009"
15.06.2021 10:00,15.06.2021 11:00,"0,009"
15.06.2021 11:00,15.06.2021 12:00,"0,372"
15.06.2021 12:00,15.06.2021 13:00,"0,554"
15.06.2021 13:00,15.06.2021 14:00,"0,008"
15.06.2021 14:00,15.06.2021 15:00,"0,009"
15.06.2021 15:00,15.06.2021 16:00,"0,012"
15.06.2021 16:00,15.06.2021 17:00,"0,247"
15.06.2021 17:00,15.06.2021 18:00,"0,783"
15.06.2021 18:00,15.06.2021 19:00,"0,009"
15.06.2021 19:00,15.06.2021 20:00,"0,009"
15.06.2021 20:00,15.06.2021 21:00,"0,009"
15.06.2021 21:00,15.06.2021 22:00,"0,009"
15.06.2021 22:00,15.06.2021 23:00,"0,889"
15.06.2021 23:00,16.06.2021 00:00,"0,008"
16.06.2021 00:00,16.06.2021 01:00,"0,009"
16.06.2021 01:00,16.06.2021 02:00,"0,009"
16.06.2021 02:00,16.06.2021 03:00,"0,009"
16.06.2021 03:00,16.06.2021 04:00,"0,896"
16.06.2021 04:00,16.06.2021 05:00,"0,009"
16.06.2021 05:00,16.06.2021 06:00,"0,009"
16.06.2021 06:00,16.06.2021 07:00,"0,009"
16.06.2021 07:00,16.06.2021 08:00,"0,009"
16.06.2021 08:00,16.06.2021 09:00,"0,878"
16.06.2021 09:00,16.06.2021 10:00,"0,053"
16.06.2021 10:00,16.06.2021 11:00,"0,441"
16.06.2021 11:00,16.06.2021 12:00,"2,652"
16.06.2021 12:00,16.06.2021 13:00,"1,688"
16.06.2021 13:00,16.06.2021 14:00,"1,843"
16.06.2021 14:00,16.06.2021 15:00,"0,846"
16.06.2021 15:00,16.06.2021 16:00,"0,01"
16.06.2021 16:00,16.06.2021 17:00,"0,009"
16.06.2021 17:00,16.06.2021 18:00,"0,847"
16.06.2021 18:00,16.06.2021 19:00,"0,009"
16.06.2021 19:00,16.06.2021 20:00,"0,009"
16.06.2021 20:00,16.06.2021 21:00,"0,009"
16.06.2021 21:00,16.06.2021 22:00,"0,485"
16.06.2021 22:00,16.06.2021 23:00,"0,48"
16.06.2021 23:00,17.06.2021 00:00,"0,009"
17.06.2021 00:00,17.06.2021 01:00,"0,009"
17.06.2021 01:00,17.06.2021 02:00,"0,009"
17.06.2021 02:00,17.06.2021 03:00,"0,326"
17.06.2021 03:00,17.06.2021 04:00,"0,583"
17.06.2021 04:00,17.06.2021 05:00,"0,009"
17.06.2021 05:00,17.06.2021 06:00,"0,009"
17.06.2021 06:00,17.06.2021 07:00,"0,009"
17.06.2021 07:00,17.06.2021 08:00,"0,009"
17.06.2021 08:00,17.06.2021 09:00,"0,951"
17.06.2021 09:00,17.06.2021 10:00,"0,009"
17.06.2021 10:00,17.06.2021 11:00,"0,009"
17.06.2021 11:00,17.06.2021 12:00,"0,008"
17.06.2021 12:00,17.06.2021 13:00,"0,009"
17.06.2021 13:00,17.06.2021 14:00,"0,905"
17.06.2021 14:00,17.06.2021 15:00,"0,056"
17.06.2021 15:00,17.06.2021 16:00,"0,009"
17.06.2021 16:00,17.06.2021 17:00,"0,009"
17.06.2021 17:00,17.06.2021 18:00,"0,009"
17.06.2021 18:00,17.06.2021 19:00,"0,083"
17.06.2021 19:00,17.06.2021 20:00,"0,869"
17.06.2021 20:00,17.06.2021 21:00,"0,009"
17.06.2021 21:00,17.06.2021 22:00,"0,009"
17.06.2021 22:00,17.06.2021 23:00,"0,008"
17.06.2021 23:00,18.06.2021 00:00,"0,009"
18.06.2021 00:00,18.06.2021 01:00,"0,978"
18.06.2021 01:00,18.06.2021 02:00,"0,009"
18.06.2021 02:00,18.06.2021 03:00,"0,009"
18.06.2021 03:00,18.06.2021 04:00,"0,009"
18.06.2021 04:00,18.06.2021 05:00,"0,009"
18.06.2021 05:00,18.06.2021 06:00,"0,149"
18.06.2021 06:00,18.06.2021 07:00,"0,735"
18.06.2021 07:00,18.06.2021 08:00,"0,009"
18.06.2021 08:00,18.06.2021 09:00,"0,008"
18.06.2021 09:00,18.06.2021 10:00,"0,009"
18.06.2021 10:00,18.06.2021 11:00,"0,009"
18.06.2021 11:00,18.06.2021 12:00,"0,909"
18.06.2021 12:00,18.06.2021 13:00,"0,009"
18.06.2021 13:00,18.06.2021 14:00,"0,009"
18.06.2021 14:00,18.06.2021 15:00,"0,009"
18.06.2021 15:00,18.06.2021 16:00,"0,009"
18.06.2021 16:00,18.06.2021 17:00,"0,97"
18.06.2021 17:00,18.06.2021 18:00,"0,009"
18.06.2021 18:00,18.06.2021 19:00,"0,009"
18.06.2021 19:00,18.06.2021 20:00,"0,009"
18.06.2021 20:00,18.06.2021 21:00,"0,009"
18.06.2021 21:00,18.06.2021 22:00,"0,093"
18.06.2021 22:00,18.06.2021 23:00,"0,885"
18.06.2021 23:00,19.06.2021 00:00,"0,009"
19.06.2021 00:00,19.06.2021 01:00,"0,009"
19.06.2021 01:00,19.06.2021 02:00,"0,009"
19.06.2021 02:00,19.06.2021 03:00,"0,009"
19.06.2021 03:00,19.06.2021 04:00,"0,927"
19.06.2021 04:00,19.06.2021 05:00,"0,057"
19.06.2021 05:00,19.06.2021 06:00,"0,009"
19.06.2021 06:00,19.06.2021 07:00,"0,009"
19.06.2021 07:00,19.06.2021 08:00,"0,009"
19.06.2021 08:00,19.06.2021 09:00,"0,009"
19.06.2021 09:00,19.06.2021 10:00,"0,958"
19.06.2021 10:00,19.06.2021 11:00,"0,009"
19.06.2021 11:00,19.06.2021 12:00,"0,009"
19.06.2021 12:00,19.06.2021 13:00,"0,009"
19.06.2021 13:00,19.06.2021 14:00,"0,009"
19.06.2021 14:00,19.06.2021 15:00,"0,575"
19.06.2021 15:00,19.06.2021 16:00,"0,381"
19.06.2021 16:00,19.06.2021 17:00,"0,009"
19.06.2021 17:00,19.06.2021 18:00,"0,009"
19.06.2021 18:00,19.06.2021 19:00,"0,009"
19.06.2021 19:00,19.06.2021 20:00,"0,009"
19.06.2021 20:00,19.06.2021 21:00,"0,944"
19.06.2021 21:00,19.06.2021 22:00,"0,009"
19.06.2021 22:00,19.06.2021 23:00,"0,009"
19.06.2021 23:00,20.06.2021 00:00,"0,009"
20.06.2021 00:00,20.06.2021 01:00,"0,009"
20.06.2021 01:00,20.06.2021 02:00,"0,452"
20.06.2021 02:00,20.06.2021 03:00,"0,53"
20.06.2021 03:00,20.06.2021 04:00,"0,009"
20.06.2021 04:00,20.06.2021 05:00,"0,008"
20.06.2021 05:00,20.06.2021 06:00,"0,009"
20.06.2021 06:00,20.06.2021 07:00,"0,009"
20.06.2021 07:00,20.06.2021 08:00,"0,93"
20.06.2021 08:00,20.06.2021 09:00,"0,009"
20.06.2021 09:00,20.06.2021 10:00,"0,009"
20.06.2021 10:00,20.06.2021 11:00,"0,008"
20.06.2021 11:00,20.06.2021 12:00,"0,009"
20.06.2021 12:00,20.06.2021 13:00,"0,36"
20.06.2021 13:00,20.06.2021 14:00,"0,583"
20.06.2021 14:00,20.06.2021 15:00,"0,009"
20.06.2021 15:00,20.06.2021 16:00,"0,009"
20.06.2021 16:00,20.06.2021 17:00,"0,009"
20.06.2021 17:00,20.06.2021 18:00,"0,009"
20.06.2021 18:00,20.06.2021 19:00,"0,936"
20.06.2021 19:00,20.06.2021 20:00,"0,009"
20.06.2021 20:00,20.06.2021 21:00,"0,009"
20.06.2021 21:00,20.06.2021 22:00,"0,009"
20.06.2021 22:00,20.06.2021 23:00,"0,009"
20.06.2021 23:00,21.06.2021 00:00,"0,592"
21.06.2021 00:00,21.06.2021 01:00,"0,29"
21.06.2021 01:00,21.06.2021 02:00,"0,009"
21.06.2021 02:00,21.06.2021 03:00,"0,009"
21.06.2021 03:00,21.06.2021 04:00,"0,009"
21.06.2021 04:00,21.06.2021 05:00,"0,301"
21.06.2021 05:00,21.06.2021 06:00,"0,658"
21.06.2021 06:00,21.06.2021 07:00,"0,009"
21.06.2021 07:00,21.06.2021 08:00,"0,009"
