Fra,Til,KWH 60 Forbruk
01.07.2021 00:00,01.07.2021 01:00,"0,065"
01.07.2021 01:00,01.07.2021 02:00,"0,201"
01.07.2021 02:00,01.07.2021 03:00,"0,789"
01.07.2021 03:00,01.07.2021 04:00,"0,065"
01.07.2021 04:00,01.07.2021 05:00,"0,067"
01.07.2021 05:00,01.07.2021 06:00,"0,062"
01.07.2021 06:00,01.07.2021 07:00,"0,609"
01.07.2021 07:00,01.07.2021 08:00,"0,385"
01.07.2021 08:00,01.07.2021 09:00,"0,065"
01.07.2021 09:00,01.07.2021 10:00,"0,11"
01.07.2021 10:00,01.07.2021 11:00,"0,107"
01.07.2021 11:00,01.07.2021 12:00,"0,528"
01.07.2021 12:00,01.07.2021 13:00,"0,513"
01.07.2021 13:00,01.07.2021 14:00,"0,096"
01.07.2021 14:00,01.07.2021 15:00,"0,152"
01.07.2021 15:00,01.07.2021 16:00,"0,119"
01.07.2021 16:00,01.07.2021 17:00,"0,477"
01.07.2021 17:00,01.07.2021 18:00,"0,751"
01.07.2021 18:00,01.07.2021 19:00,"0,074"
01.07.2021 19:00,01.07.2021 20:00,"0,077"
01.07.2021 20:00,01.07.2021 21:00,"0,07"
01.07.2021 21:00,01.07.2021 22:00,"0,709"
01.07.2021 22:00,01.07.2021 23:00,"0,232"
01.07.2021 23:00,02.07.2021 00:00,"0,075"
02.07.2021 00:00,02.07.2021 01:00,"0,071"
02.07.2021 01:00,02.07.2021 02:00,"0,074"
02.07.2021 02:00,02.07.2021 03:00,"0,902"
02.07.2021 03:00,02.07.2021 04:00,"0,066"
02.07.2021 04:00,02.07.2021 05:00,"0,067"
02.07.2021 05:00,02.07.2021 06:00,"0,072"
02.07.2021 06:00,02.07.2021 07:00,"0,068"
02.07.2021 07:00,02.07.2021 08:00,"0,919"
02.07.2021 08:00,02.07.2021 09:00,"0,12"
02.07.2021 09:00,02.07.2021 10:00,"0,148"
02.07.2021 10:00,02.07.2021 11:00,"0,145"
02.07.2021 11:00,02.07.2021 12:00,"0,259"
02.07.2021 12:00,02.07.2021 13:00,"1,182"
02.07.2021 13:00,02.07.2021 14:00,"0,348"
02.07.2021 14:00,02.07.2021 15:00,"0,358"
02.07.2021 15:00,02.07.2021 16:00,"0,45"
02.07.2021 16:00,02.07.2021 17:00,"1,174"
02.07.2021 17:00,02.07.2021 18:00,"0,397"
02.07.2021 18:00,02.07.2021 19:00,"1,042"
02.07.2021 19:00,02.07.2021 20:00,"0,918"
02.07.2021 20:00,02.07.2021 21:00,"0,796"
02.07.2021 21:00,02.07.2021 22:00,"0,741"
02.07.2021 22:00,02.07.2021 23:00,"0,608"
02.07.2021 23:00,03.07.2021 00:00,"0,791"
03.07.2021 00:00,03.07.2021 01:00,"0,135"
03.07.2021 01:00,03.07.2021 02:00,"0,136"
03.07.2021 02:00,03.07.2021 03:00,"0,126"
03.07.2021 03:00,03.07.2021 04:00,"1,072"
03.07.2021 04:00,03.07.2021 05:00,"0,113"
03.07.2021 05:00,03.07.2021 06:00,"0,285"
03.07.2021 06:00,03.07.2021 07:00,"0,798"
03.07.2021 07:00,03.07.2021 08:00,"1,256"
03.07.2021 08:00,03.07.2021 09:00,"0,549"
03.07.2021 09:00,03.07.2021 10:00,"0,671"
03.07.2021 10:00,03.07.2021 11:00,"1,3"
03.07.2021 11:00,03.07.2021 12:00,"0,946"
03.07.2021 12:00,03.07.2021 13:00,"0,802"
03.07.2021 13:00,03.07.2021 14:00,"1,39"
03.07.2021 14:00,03.07.2021 15:00,"0,616"
03.07.2021 15:00,03.07.2021 16:00,"0,97"
03.07.2021 16:00,03.07.2021 17:00,"1,815"
03.07.2021 17:00,03.07.2021 18:00,"0,387"
03.07.2021 18:00,03.07.2021 19:00,"0,648"
03.07.2021 19:00,03.07.2021 20:00,"0,762"
03.07.2021 20:00,03.07.2021 21:00,"1,346"
03.07.2021 21:00,03.07.2021 22:00,"0,512"
03.07.2021 22:00,03.07.2021 23:00,"0,284"
03.07.2021 23:00,04.07.2021 00:00,"0,183"
04.07.2021 00:00,04.07.2021 01:00,"0,83"
04.07.2021 01:00,04.07.2021 02:00,"0,219"
04.07.2021 02:00,04.07.2021 03:00,"0,191"
04.07.2021 03:00,04.07.2021 04:00,"0,181"
04.07.2021 04:00,04.07.2021 05:00,"0,929"
04.07.2021 05:00,04.07.2021 06:00,"0,236"
04.07.2021 06:00,04.07.2021 07:00,"0,594"
04.07.2021 07:00,04.07.2021 08:00,"1,79"
04.07.2021 08:00,04.07.2021 09:00,"0,536"
04.07.2021 09:00,04.07.2021 10:00,"0,255"
04.07.2021 10:00,04.07.2021 11:00,"0,538"
04.07.2021 11:00,04.07.2021 12:00,"0,627"
04.07.2021 12:00,04.07.2021 13:00,"0,421"
04.07.2021 13:00,04.07.2021 14:00,"0,796"
04.07.2021 14:00,04.07.2021 15:00,"1,031"
04.07.2021 15:00,04.07.2021 16:00,"1,087"
04.07.2021 16:00,04.07.2021 17:00,"0,251"
04.07.2021 17:00,04.07.2021 18:00,"0,188"
04.07.2021 18:00,04.07.2021 19:00,"1,372"
04.07.2021 19:00,04.07.2021 20:00,"1,724"
04.07.2021 20:00,04.07.2021 21:00,"0,948"
04.07.2021 21:00,04.07.2021 22:00,"0,479"
04.07.2021 22:00,04.07.2021 23:00,"0,476"
04.07.2021 23:00,05.07.2021 00:00,"1,002"
05.07.2021 00:00,05.07.2021 01:00,"0,182"
05.07.2021 01:00,05.07.2021 02:00,"0,165"
05.07.2021 02:00,05.07.2021 03:00,"0,185"
05.07.2021 03:00,05.07.2021 04:00,"0,717"
05.07.2021 04:00,05.07.2021 05:00,"0,464"
05.07.2021 05:00,05.07.2021 06:00,"0,202"
