Fra,Til,KWH 60 Forbruk
01.10.2021 00:00,01.10.2021 01:00,"0,851"
01.10.2021 01:00,01.10.2021 02:00,"0,486"
01.10.2021 02:00,01.10.2021 03:00,"0,278"
01.10.2021 03:00,01.10.2021 04:00,"0,228"
01.10.2021 04:00,01.10.2021 05:00,"0,288"
01.10.2021 05:00,01.10.2021 06:00,"1,089"
01.10.2021 06:00,01.10.2021 07:00,"0,423"
01.10.2021 07:00,01.10.2021 08:00,"0,972"
01.10.2021 08:00,01.10.2021 09:00,"1,714"
01.10.2021 09:00,01.10.2021 10:00,"0,952"
01.10.2021 10:00,01.10.2021 11:00,"1,511"
01.10.2021 11:00,01.10.2021 12:00,"2,099"
01.10.2021 12:00,01.10.2021 13:00,"0,865"
01.10.2021 13:00,01.10.2021 14:00,"2,514"
01.10.2021 14:00,01.10.2021 15:00,"1,585"
01.10.2021 15:00,01.10.2021 16:00,"1,333"
01.10.2021 16:00,01.10.2021 17:00,"1,937"
01.10.2021 17:00,01.10.2021 18:00,"1,156"
01.10.2021 18:00,01.10.2021 19:00,"0,692"
01.10.2021 19:00,01.10.2021 20:00,"1,772"
01.10.2021 20:00,01.10.2021 21:00,"1,861"
01.10.2021 21:00,01.10.2021 22:00,"1,208"
01.10.2021 22:00,01.10.2021 23:00,"0,758"
01.10.2021 23:00,02.10.2021 00:00,"0,285"
02.10.2021 00:00,02.10.2021 01:00,"1,142"
02.10.2021 01:00,02.10.2021 02:00,"0,224"
02.10.2021 02:00,02.10.2021 03:00,"0,322"
02.10.2021 03:00,02.10.2021 04:00,"0,236"
02.10.2021 04:00,02.10.2021 05:00,"1,092"
02.10.2021 05:00,02.10.2021 06:00,"0,299"
02.10.2021 06:00,02.10.2021 07:00,"0,242"
02.10.2021 07:00,02.10.2021 08:00,"0,63"
02.10.2021 08:00,02.10.2021 09:00,"1,873"
02.10.2021 09:00,02.10.2021 10:00,"3,098"
02.10.2021 10:00,02.10.2021 11:00,"1,993"
02.10.2021 11:00,02.10.2021 12:00,"1,556"
02.10.2021 12:00,02.10.2021 13:00,"3,547"
02.10.2021 13:00,02.10.2021 14:00,"3,252"
02.10.2021 14:00,02.10.2021 15:00,"1,921"
02.10.2021 15:00,02.10.2021 16:00,"2,907"
02.10.2021 16:00,02.10.2021 17:00,"0,941"
02.10.2021 17:00,02.10.2021 18:00,"1,52"
02.10.2021 18:00,02.10.2021 19:00,"1,656"
02.10.2021 19:00,02.10.2021 20:00,"1,505"
02.10.2021 20:00,02.10.2021 21:00,"0,935"
02.10.2021 21:00,02.10.2021 22:00,"0,69"
02.10.2021 22:00,02.10.2021 23:00,"0,789"
02.10.2021 23:00,03.10.2021 00:00,"1,199"
03.10.2021 00:00,03.10.2021 01:00,"0,272"
03.10.2021 01:00,03.10.2021 02:00,"0,242"
03.10.2021 02:00,03.10.2021 03:00,"0,325"
03.10.2021 03:00,03.10.2021 04:00,"0,721"
03.10.2021 04:00,03.10.2021 05:00,"0,772"
03.10.2021 05:00,03.10.2021 06:00,"0,25"
03.10.2021 06:00,03.10.2021 07:00,"0,643"
03.10.2021 07:00,03.10.2021 08:00,"1,009"
03.10.2021 08:00,03.10.2021 09:00,"2,232"
03.10.2021 09:00,03.10.2021 10:00,"1,227"
03.10.2021 10:00,03.10.2021 11:00,"1,447"
03.10.2021 11:00,03.10.2021 12:00,"1,914"
03.10.2021 12:00,03.10.2021 13:00,"2,705"
03.10.2021 13:00,03.10.2021 14:00,"1,03"
03.10.2021 14:00,03.10.2021 15:00,"1,719"
03.10.2021 15:00,03.10.2021 16:00,"2,88"
03.10.2021 16:00,03.10.2021 17:00,"2,11"
03.10.2021 17:00,03.10.2021 18:00,"0,579"
03.10.2021 18:00,03.10.2021 19:00,"1,537"
03.10.2021 19:00,03.10.2021 20:00,"0,629"
03.10.2021 20:00,03.10.2021 21:00,"0,98"
03.10.2021 21:00,03.10.2021 22:00,"3,228"
03.10.2021 22:00,03.10.2021 23:00,"0,543"
