Fra,Til,KWH 60 Forbruk
01.09.2021 00:00,01.09.2021 01:00,"0,283"
01.09.2021 01:00,01.09.2021 02:00,"0,329"
01.09.2021 02:00,01.09.2021 03:00,"1,268"
01.09.2021 03:00,01.09.2021 04:00,"0,322"
01.09.2021 04:00,01.09.2021 05:00,"0,326"
01.09.2021 05:00,01.09.2021 06:00,"0,346"
01.09.2021 06:00,01.09.2021 07:00,"1,207"
01.09.2021 07:00,01.09.2021 08:00,"0,525"
01.09.2021 08:00,01.09.2021 09:00,"0,608"
01.09.2021 09:00,01.09.2021 10:00,"0,564"
01.09.2021 10:00,01.09.2021 11:00,"1,906"
01.09.2021 11:00,01.09.2021 12:00,"0,898"
01.09.2021 12:00,01.09.2021 13:00,"1,084"
01.09.2021 13:00,01.09.2021 14:00,"1,541"
01.09.2021 14:00,01.09.2021 15:00,"0,732"
01.09.2021 15:00,01.09.2021 16:00,"2,063"
01.09.2021 16:00,01.09.2021 17:00,"1,116"
01.09.2021 17:00,01.09.2021 18:00,"0,442"
01.09.2021 18:00,01.09.2021 19:00,"1,206"
01.09.2021 19:00,01.09.2021 20:00,"0,417"
01.09.2021 20:00,01.09.2021 21:00,"1,708"
01.09.2021 21:00,01.09.2021 22:00,"0,335"
01.09.2021 22:00,01.09.2021 23:00,"0,315"
01.09.2021 23:00,02.09.2021 00:00,"0,265"
02.09.2021 00:00,02.09.2021 01:00,"1,114"
02.09.2021 01:00,02.09.2021 02:00,"0,281"
02.09.2021 02:00,02.09.2021 03:00,"0,303"
02.09.2021 03:00,02.09.2021 04:00,"0,302"
02.09.2021 04:00,02.09.2021 05:00,"0,279"
02.09.2021 05:00,02.09.2021 06:00,"1,262"
02.09.2021 06:00,02.09.2021 07:00,"0,319"
02.09.2021 07:00,02.09.2021 08:00,"0,663"
02.09.2021 08:00,02.09.2021 09:00,"0,631"
02.09.2021 09:00,02.09.2021 10:00,"1,64"
02.09.2021 10:00,02.09.2021 11:00,"0,973"
02.09.2021 11:00,02.09.2021 12:00,"1,123"
02.09.2021 12:00,02.09.2021 13:00,"1,508"
02.09.2021 13:00,02.09.2021 14:00,"1,949"
02.09.2021 14:00,02.09.2021 15:00,"0,741"
02.09.2021 15:00,02.09.2021 16:00,"0,902"
02.09.2021 16:00,02.09.2021 17:00,"2,083"
02.09.2021 17:00,02.09.2021 18:00,"0,651"
02.09.2021 18:00,02.09.2021 19:00,"0,663"
02.09.2021 19:00,02.09.2021 20:00,"0,619"
02.09.2021 20:00,02.09.2021 21:00,"2,182"
02.09.2021 21:00,02.09.2021 22:00,"1,684"
02.09.2021 22:00,02.09.2021 23:00,"0,537"
02.09.2021 23:00,03.09.2021 00:00,"0,354"
03.09.2021 00:00,03.09.2021 01:00,"1,092"
03.09.2021 01:00,03.09.2021 02:00,"0,394"
03.09.2021 02:00,03.09.2021 03:00,"0,34"
03.09.2021 03:00,03.09.2021 04:00,"0,33"
03.09.2021 04:00,03.09.2021 05:00,"0,361"
03.09.2021 05:00,03.09.2021 06:00,"1,213"
03.09.2021 06:00,03.09.2021 07:00,"0,39"
03.09.2021 07:00,03.09.2021 08:00,"0,744"
03.09.2021 08:00,03.09.2021 09:00,"1,556"
03.09.2021 09:00,03.09.2021 10:00,"0,594"
03.09.2021 10:00,03.09.2021 11:00,"1,123"
03.09.2021 11:00,03.09.2021 12:00,"1,04"
03.09.2021 12:00,03.09.2021 13:00,"0,605"
03.09.2021 13:00,03.09.2021 14:00,"0,925"
03.09.2021 14:00,03.09.2021 15:00,"1,311"
03.09.2021 15:00,03.09.2021 16:00,"1,45"
03.09.2021 16:00,03.09.2021 17:00,"0,539"
03.09.2021 17:00,03.09.2021 18:00,"1,891"
03.09.2021 18:00,03.09.2021 19:00,"0,55"
03.09.2021 19:00,03.09.2021 20:00,"0,642"
03.09.2021 20:00,03.09.2021 21:00,"1,407"
03.09.2021 21:00,03.09.2021 22:00,"0,597"
03.09.2021 22:00,03.09.2021 23:00,"0,362"
03.09.2021 23:00,04.09.2021 00:00,"0,283"
04.09.2021 00:00,04.09.2021 01:00,"1,243"
04.09.2021 01:00,04.09.2021 02:00,"0,361"
04.09.2021 02:00,04.09.2021 03:00,"0,364"
04.09.2021 03:00,04.09.2021 04:00,"0,373"
04.09.2021 04:00,04.09.2021 05:00,"0,38"
04.09.2021 05:00,04.09.2021 06:00,"1,259"
04.09.2021 06:00,04.09.2021 07:00,"0,432"
04.09.2021 07:00,04.09.2021 08:00,"0,702"
04.09.2021 08:00,04.09.2021 09:00,"0,567"
04.09.2021 09:00,04.09.2021 10:00,"1,459"
04.09.2021 10:00,04.09.2021 11:00,"0,667"
04.09.2021 11:00,04.09.2021 12:00,"1,598"
04.09.2021 12:00,04.09.2021 13:00,"1,514"
04.09.2021 13:00,04.09.2021 14:00,"0,665"
04.09.2021 14:00,04.09.2021 15:00,"0,537"
04.09.2021 15:00,04.09.2021 16:00,"2,673"
04.09.2021 16:00,04.09.2021 17:00,"0,539"
04.09.2021 17:00,04.09.2021 18:00,"0,804"
04.09.2021 18:00,04.09.2021 19:00,"1,216"
04.09.2021 19:00,04.09.2021 20:00,"1,434"
04.09.2021 20:00,04.09.2021 21:00,"1,942"
04.09.2021 21:00,04.09.2021 22:00,"0,807"
04.09.2021 22:00,04.09.2021 23:00,"0,969"
04.09.2021 23:00,05.09.2021 00:00,"1,27"
05.09.2021 00:00,05.09.2021 01:00,"0,282"
05.09.2021 01:00,05.09.2021 02:00,"0,317"
05.09.2021 02:00,05.09.2021 03:00,"0,313"
05.09.2021 03:00,05.09.2021 04:00,"0,286"
05.09.2021 04:00,05.09.2021 05:00,"1,264"
05.09.2021 05:00,05.09.2021 06:00,"0,314"
05.09.2021 06:00,05.09.2021 07:00,"0,397"
05.09.2021 07:00,05.09.2021 08:00,"1,355"
05.09.2021 08:00,05.09.2021 09:00,"1,048"
05.09.2021 09:00,05.09.2021 10:00,"1,049"
05.09.2021 10:00,05.09.2021 11:00,"1,251"
05.09.2021 11:00,05.09.2021 12:00,"0,601"
05.09.2021 12:00,05.09.2021 13:00,"0,728"
05.09.2021 13:00,05.09.2021 14:00,"1,741"
05.09.2021 14:00,05.09.2021 15:00,"1,134"
05.09.2021 15:00,05.09.2021 16:00,"0,838"
05.09.2021 16:00,05.09.2021 17:00,"1,729"
05.09.2021 17:00,05.09.2021 18:00,"0,394"
05.09.2021 18:00,05.09.2021 19:00,"0,564"
05.09.2021 19:00,05.09.2021 20:00,"1,336"
05.09.2021 20:00,05.09.2021 21:00,"1,248"
05.09.2021 21:00,05.09.2021 22:00,"1,705"
05.09.2021 22:00,05.09.2021 23:00,"0,46"
05.09.2021 23:00,06.09.2021 00:00,"0,19"
06.09.2021 00:00,06.09.2021 01:00,"0,257"
06.09.2021 01:00,06.09.2021 02:00,"0,954"
06.09.2021 02:00,06.09.2021 03:00,"0,2"
06.09.2021 03:00,06.09.2021 04:00,"0,165"
06.09.2021 04:00,06.09.2021 05:00,"0,173"
06.09.2021 05:00,06.09.2021 06:00,"0,733"
06.09.2021 06:00,06.09.2021 07:00,"0,667"
06.09.2021 07:00,06.09.2021 08:00,"0,689"
06.09.2021 08:00,06.09.2021 09:00,"0,63"
06.09.2021 09:00,06.09.2021 10:00,"1,44"
06.09.2021 10:00,06.09.2021 11:00,"0,806"
06.09.2021 11:00,06.09.2021 12:00,"0,786"
06.09.2021 12:00,06.09.2021 13:00,"0,709"
06.09.2021 13:00,06.09.2021 14:00,"1,276"
06.09.2021 14:00,06.09.2021 15:00,"0,817"
06.09.2021 15:00,06.09.2021 16:00,"0,721"
06.09.2021 16:00,06.09.2021 17:00,"2,299"
06.09.2021 17:00,06.09.2021 18:00,"1,629"
06.09.2021 18:00,06.09.2021 19:00,"0,733"
06.09.2021 19:00,06.09.2021 20:00,"2,934"
06.09.2021 20:00,06.09.2021 21:00,"1,301"
06.09.2021 21:00,06.09.2021 22:00,"0,573"
06.09.2021 22:00,06.09.2021 23:00,"0,739"
06.09.2021 23:00,07.09.2021 00:00,"1,162"
07.09.2021 00:00,07.09.2021 01:00,"0,323"
07.09.2021 01:00,07.09.2021 02:00,"0,34"
07.09.2021 02:00,07.09.2021 03:00,"1,305"
07.09.2021 03:00,07.09.2021 04:00,"0,432"
07.09.2021 04:00,07.09.2021 05:00,"0,332"
07.09.2021 05:00,07.09.2021 06:00,"0,345"
07.09.2021 06:00,07.09.2021 07:00,"0,81"
07.09.2021 07:00,07.09.2021 08:00,"1,502"
07.09.2021 08:00,07.09.2021 09:00,"0,623"
07.09.2021 09:00,07.09.2021 10:00,"0,614"
07.09.2021 10:00,07.09.2021 11:00,"1,487"
07.09.2021 11:00,07.09.2021 12:00,"0,578"
07.09.2021 12:00,07.09.2021 13:00,"0,586"
07.09.2021 13:00,07.09.2021 14:00,"0,578"
07.09.2021 14:00,07.09.2021 15:00,"1,306"
07.09.2021 15:00,07.09.2021 16:00,"1,205"
07.09.2021 16:00,07.09.2021 17:00,"0,87"
07.09.2021 17:00,07.09.2021 18:00,"2,057"
07.09.2021 18:00,07.09.2021 19:00,"0,713"
07.09.2021 19:00,07.09.2021 20:00,"0,53"
07.09.2021 20:00,07.09.2021 21:00,"1,259"
07.09.2021 21:00,07.09.2021 22:00,"0,674"
07.09.2021 22:00,07.09.2021 23:00,"0,519"
07.09.2021 23:00,08.09.2021 00:00,"0,341"
08.09.2021 00:00,08.09.2021 01:00,"0,89"
08.09.2021 01:00,08.09.2021 02:00,"0,721"
08.09.2021 02:00,08.09.2021 03:00,"0,333"
08.09.2021 03:00,08.09.2021 04:00,"0,348"
08.09.2021 04:00,08.09.2021 05:00,"0,332"
08.09.2021 05:00,08.09.2021 06:00,"1,196"
08.09.2021 06:00,08.09.2021 07:00,"0,566"
08.09.2021 07:00,08.09.2021 08:00,"0,675"
08.09.2021 08:00,08.09.2021 09:00,"0,777"
08.09.2021 09:00,08.09.2021 10:00,"1,171"
08.09.2021 10:00,08.09.2021 11:00,"1,37"
08.09.2021 11:00,08.09.2021 12:00,"0,542"
08.09.2021 12:00,08.09.2021 13:00,"0,518"
08.09.2021 13:00,08.09.2021 14:00,"0,505"
08.09.2021 14:00,08.09.2021 15:00,"1,843"
08.09.2021 15:00,08.09.2021 16:00,"1,566"
08.09.2021 16:00,08.09.2021 17:00,"0,867"
08.09.2021 17:00,08.09.2021 18:00,"1,664"
08.09.2021 18:00,08.09.2021 19:00,"0,829"
08.09.2021 19:00,08.09.2021 20:00,"0,666"
08.09.2021 20:00,08.09.2021 21:00,"2,045"
08.09.2021 21:00,08.09.2021 22:00,"1,736"
08.09.2021 22:00,08.09.2021 23:00,"0,497"
08.09.2021 23:00,09.09.2021 00:00,"0,342"
09.09.2021 00:00,09.09.2021 01:00,"0,884"
09.09.2021 01:00,09.09.2021 02:00,"0,333"
09.09.2021 02:00,09.09.2021 03:00,"0,329"
09.09.2021 03:00,09.09.2021 04:00,"0,463"
09.09.2021 04:00,09.09.2021 05:00,"1,087"
09.09.2021 05:00,09.09.2021 06:00,"0,338"
09.09.2021 06:00,09.09.2021 07:00,"0,47"
09.09.2021 07:00,09.09.2021 08:00,"1,747"
09.09.2021 08:00,09.09.2021 09:00,"0,655"
09.09.2021 09:00,09.09.2021 10:00,"0,527"
09.09.2021 10:00,09.09.2021 11:00,"0,59"
09.09.2021 11:00,09.09.2021 12:00,"2,175"
09.09.2021 12:00,09.09.2021 13:00,"0,523"
09.09.2021 13:00,09.09.2021 14:00,"0,426"
09.09.2021 14:00,09.09.2021 15:00,"0,637"
09.09.2021 15:00,09.09.2021 16:00,"1,637"
09.09.2021 16:00,09.09.2021 17:00,"0,76"
09.09.2021 17:00,09.09.2021 18:00,"0,546"
09.09.2021 18:00,09.09.2021 19:00,"0,897"
09.09.2021 19:00,09.09.2021 20:00,"0,463"
09.09.2021 20:00,09.09.2021 21:00,"0,378"
09.09.2021 21:00,09.09.2021 22:00,"1,773"
09.09.2021 22:00,09.09.2021 23:00,"0,634"
09.09.2021 23:00,10.09.2021 00:00,"0,367"
10.09.2021 00:00,10.09.2021 01:00,"0,141"
10.09.2021 01:00,10.09.2021 02:00,"0,951"
10.09.2021 02:00,10.09.2021 03:00,"0,129"
10.09.2021 03:00,10.09.2021 04:00,"0,146"
10.09.2021 04:00,10.09.2021 05:00,"0,137"
10.09.2021 05:00,10.09.2021 06:00,"0,128"
10.09.2021 06:00,10.09.2021 07:00,"1,019"
10.09.2021 07:00,10.09.2021 08:00,"0,509"
10.09.2021 08:00,10.09.2021 09:00,"1,262"
10.09.2021 09:00,10.09.2021 10:00,"0,597"
10.09.2021 10:00,10.09.2021 11:00,"0,413"
10.09.2021 11:00,10.09.2021 12:00,"0,431"
10.09.2021 12:00,10.09.2021 13:00,"1,346"
10.09.2021 13:00,10.09.2021 14:00,"0,37"
10.09.2021 14:00,10.09.2021 15:00,"0,494"
10.09.2021 15:00,10.09.2021 16:00,"1,475"
10.09.2021 16:00,10.09.2021 17:00,"1,303"
10.09.2021 17:00,10.09.2021 18:00,"0,536"
10.09.2021 18:00,10.09.2021 19:00,"1,068"
10.09.2021 19:00,10.09.2021 20:00,"0,19"
10.09.2021 20:00,10.09.2021 21:00,"0,183"
10.09.2021 21:00,10.09.2021 22:00,"0,191"
10.09.2021 22:00,10.09.2021 23:00,"0,705"
10.09.2021 23:00,11.09.2021 00:00,"0,527"
11.09.2021 00:00,11.09.2021 01:00,"0,208"
11.09.2021 01:00,11.09.2021 02:00,"0,204"
11.09.2021 02:00,11.09.2021 03:00,"0,206"
11.09.2021 03:00,11.09.2021 04:00,"0,956"
11.09.2021 04:00,11.09.2021 05:00,"0,209"
11.09.2021 05:00,11.09.2021 06:00,"0,204"
11.09.2021 06:00,11.09.2021 07:00,"0,208"
11.09.2021 07:00,11.09.2021 08:00,"0,936"
11.09.2021 08:00,11.09.2021 09:00,"0,272"
11.09.2021 09:00,11.09.2021 10:00,"0,333"
11.09.2021 10:00,11.09.2021 11:00,"0,377"
11.09.2021 11:00,11.09.2021 12:00,"0,702"
11.09.2021 12:00,11.09.2021 13:00,"1,418"
11.09.2021 13:00,11.09.2021 14:00,"0,693"
11.09.2021 14:00,11.09.2021 15:00,"0,618"
11.09.2021 15:00,11.09.2021 16:00,"1,23"
11.09.2021 16:00,11.09.2021 17:00,"0,624"
11.09.2021 17:00,11.09.2021 18:00,"1,281"
11.09.2021 18:00,11.09.2021 19:00,"1,326"
11.09.2021 19:00,11.09.2021 20:00,"0,396"
11.09.2021 20:00,11.09.2021 21:00,"0,358"
11.09.2021 21:00,11.09.2021 22:00,"0,494"
11.09.2021 22:00,11.09.2021 23:00,"1,01"
11.09.2021 23:00,12.09.2021 00:00,"0,304"
12.09.2021 00:00,12.09.2021 01:00,"0,288"
12.09.2021 01:00,12.09.2021 02:00,"0,28"
12.09.2021 02:00,12.09.2021 03:00,"0,321"
12.09.2021 03:00,12.09.2021 04:00,"0,91"
12.09.2021 04:00,12.09.2021 05:00,"0,303"
12.09.2021 05:00,12.09.2021 06:00,"0,289"
