Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Bergen - Florida Uib;SN50539;01.05.2021 01:00;3,6
Bergen - Florida Uib;SN50539;01.05.2021 02:00;3,5
Bergen - Florida Uib;SN50539;01.05.2021 03:00;3
Bergen - Florida Uib;SN50539;01.05.2021 04:00;2,7
Bergen - Florida Uib;SN50539;01.05.2021 05:00;3,1
Bergen - Florida Uib;SN50539;01.05.2021 06:00;3,4
Bergen - Florida Uib;SN50539;01.05.2021 07:00;5,8
Bergen - Florida Uib;SN50539;01.05.2021 08:00;8,2
Bergen - Florida Uib;SN50539;01.05.2021 09:00;9
Bergen - Florida Uib;SN50539;01.05.2021 10:00;10,6
Bergen - Florida Uib;SN50539;01.05.2021 11:00;10,4
Bergen - Florida Uib;SN50539;01.05.2021 12:00;11,8
Bergen - Florida Uib;SN50539;01.05.2021 13:00;11,4
Bergen - Florida Uib;SN50539;01.05.2021 14:00;10
Bergen - Florida Uib;SN50539;01.05.2021 15:00;9,1
Bergen - Florida Uib;SN50539;01.05.2021 16:00;8,5
Bergen - Florida Uib;SN50539;01.05.2021 17:00;8,9
Bergen - Florida Uib;SN50539;01.05.2021 18:00;9,8
Bergen - Florida Uib;SN50539;01.05.2021 19:00;9,4
Bergen - Florida Uib;SN50539;01.05.2021 20:00;8,2
Bergen - Florida Uib;SN50539;01.05.2021 21:00;7,2
Bergen - Florida Uib;SN50539;01.05.2021 22:00;5,2
Bergen - Florida Uib;SN50539;01.05.2021 23:00;4,4
Bergen - Florida Uib;SN50539;02.05.2021 00:00;4,4
Bergen - Florida Uib;SN50539;02.05.2021 01:00;4,3
Bergen - Florida Uib;SN50539;02.05.2021 02:00;3,9
Bergen - Florida Uib;SN50539;02.05.2021 03:00;2,9
Bergen - Florida Uib;SN50539;02.05.2021 04:00;2,9
Bergen - Florida Uib;SN50539;02.05.2021 05:00;3,4
Bergen - Florida Uib;SN50539;02.05.2021 06:00;3,4
Bergen - Florida Uib;SN50539;02.05.2021 07:00;5,2
Bergen - Florida Uib;SN50539;02.05.2021 08:00;7,2
Bergen - Florida Uib;SN50539;02.05.2021 09:00;8,5
Bergen - Florida Uib;SN50539;02.05.2021 10:00;9,7
Bergen - Florida Uib;SN50539;02.05.2021 11:00;8,6
Bergen - Florida Uib;SN50539;02.05.2021 12:00;8,5
Bergen - Florida Uib;SN50539;02.05.2021 13:00;8,6
Bergen - Florida Uib;SN50539;02.05.2021 14:00;9,1
Bergen - Florida Uib;SN50539;02.05.2021 15:00;10,1
Bergen - Florida Uib;SN50539;02.05.2021 16:00;10,6
Bergen - Florida Uib;SN50539;02.05.2021 17:00;8,9
Bergen - Florida Uib;SN50539;02.05.2021 18:00;8,7
Bergen - Florida Uib;SN50539;02.05.2021 19:00;8
Bergen - Florida Uib;SN50539;02.05.2021 20:00;7,4
Bergen - Florida Uib;SN50539;02.05.2021 21:00;6,7
Bergen - Florida Uib;SN50539;02.05.2021 22:00;5,4
Bergen - Florida Uib;SN50539;02.05.2021 23:00;5,6
Bergen - Florida Uib;SN50539;03.05.2021 00:00;6
Bergen - Florida Uib;SN50539;03.05.2021 01:00;4,9
Bergen - Florida Uib;SN50539;03.05.2021 02:00;4,5
Bergen - Florida Uib;SN50539;03.05.2021 03:00;5,3
Bergen - Florida Uib;SN50539;03.05.2021 04:00;4,8
Bergen - Florida Uib;SN50539;03.05.2021 05:00;4,3
Bergen - Florida Uib;SN50539;03.05.2021 06:00;4,6
Bergen - Florida Uib;SN50539;03.05.2021 07:00;4,7
Bergen - Florida Uib;SN50539;03.05.2021 08:00;4,2
Bergen - Florida Uib;SN50539;03.05.2021 09:00;5,5
Bergen - Florida Uib;SN50539;03.05.2021 10:00;7
Bergen - Florida Uib;SN50539;03.05.2021 11:00;7,6
Bergen - Florida Uib;SN50539;03.05.2021 12:00;8,8
Bergen - Florida Uib;SN50539;03.05.2021 13:00;9,2
Bergen - Florida Uib;SN50539;03.05.2021 14:00;9,4
Bergen - Florida Uib;SN50539;03.05.2021 15:00;10,1
Bergen - Florida Uib;SN50539;03.05.2021 16:00;9,7
Bergen - Florida Uib;SN50539;03.05.2021 17:00;9,4
Bergen - Florida Uib;SN50539;03.05.2021 18:00;8,2
Bergen - Florida Uib;SN50539;03.05.2021 19:00;6,6
Bergen - Florida Uib;SN50539;03.05.2021 20:00;5,8
Bergen - Florida Uib;SN50539;03.05.2021 21:00;5,2
Bergen - Florida Uib;SN50539;03.05.2021 22:00;3,7
Bergen - Florida Uib;SN50539;03.05.2021 23:00;3,4
Bergen - Florida Uib;SN50539;04.05.2021 00:00;3
Bergen - Florida Uib;SN50539;04.05.2021 01:00;2,5
Bergen - Florida Uib;SN50539;04.05.2021 02:00;1,6
Bergen - Florida Uib;SN50539;04.05.2021 03:00;1,2
Bergen - Florida Uib;SN50539;04.05.2021 04:00;2,5
Bergen - Florida Uib;SN50539;04.05.2021 05:00;3
Bergen - Florida Uib;SN50539;04.05.2021 06:00;4,8
Bergen - Florida Uib;SN50539;04.05.2021 07:00;5,8
Bergen - Florida Uib;SN50539;04.05.2021 08:00;7,3
Bergen - Florida Uib;SN50539;04.05.2021 09:00;8,5
Bergen - Florida Uib;SN50539;04.05.2021 10:00;10,5
Bergen - Florida Uib;SN50539;04.05.2021 11:00;11
Bergen - Florida Uib;SN50539;04.05.2021 12:00;12,2
Bergen - Florida Uib;SN50539;04.05.2021 13:00;12,1
Bergen - Florida Uib;SN50539;04.05.2021 14:00;12,8
Bergen - Florida Uib;SN50539;04.05.2021 15:00;12,6
Bergen - Florida Uib;SN50539;04.05.2021 16:00;13,6
Bergen - Florida Uib;SN50539;04.05.2021 17:00;11,6
Bergen - Florida Uib;SN50539;04.05.2021 18:00;11,3
Bergen - Florida Uib;SN50539;04.05.2021 19:00;10,4
Bergen - Florida Uib;SN50539;04.05.2021 20:00;9,8
Bergen - Florida Uib;SN50539;04.05.2021 21:00;9,2
Bergen - Florida Uib;SN50539;04.05.2021 22:00;8,9
Bergen - Florida Uib;SN50539;04.05.2021 23:00;8,7
Bergen - Florida Uib;SN50539;05.05.2021 00:00;8,3
Bergen - Florida Uib;SN50539;05.05.2021 01:00;8,3
Bergen - Florida Uib;SN50539;05.05.2021 02:00;8
Bergen - Florida Uib;SN50539;05.05.2021 03:00;8,1
Bergen - Florida Uib;SN50539;05.05.2021 04:00;7,9
Bergen - Florida Uib;SN50539;05.05.2021 05:00;7,8
Bergen - Florida Uib;SN50539;05.05.2021 06:00;8,2
Bergen - Florida Uib;SN50539;05.05.2021 07:00;8,6
Bergen - Florida Uib;SN50539;05.05.2021 08:00;9,1
Bergen - Florida Uib;SN50539;05.05.2021 09:00;9,9
Bergen - Florida Uib;SN50539;05.05.2021 10:00;10,9
Bergen - Florida Uib;SN50539;05.05.2021 11:00;11,4
Bergen - Florida Uib;SN50539;05.05.2021 12:00;12,5
Bergen - Florida Uib;SN50539;05.05.2021 13:00;13,5
Bergen - Florida Uib;SN50539;05.05.2021 14:00;13,6
Bergen - Florida Uib;SN50539;05.05.2021 15:00;12,8
Bergen - Florida Uib;SN50539;05.05.2021 16:00;12,6
Bergen - Florida Uib;SN50539;05.05.2021 17:00;11,8
Bergen - Florida Uib;SN50539;05.05.2021 18:00;10,6
Bergen - Florida Uib;SN50539;05.05.2021 19:00;10,2
Bergen - Florida Uib;SN50539;05.05.2021 20:00;9,6
Bergen - Florida Uib;SN50539;05.05.2021 21:00;9,2
Bergen - Florida Uib;SN50539;05.05.2021 22:00;8,4
Bergen - Florida Uib;SN50539;05.05.2021 23:00;8,4
Bergen - Florida Uib;SN50539;06.05.2021 00:00;8
Bergen - Florida Uib;SN50539;06.05.2021 01:00;7,8
Bergen - Florida Uib;SN50539;06.05.2021 02:00;7,1
Bergen - Florida Uib;SN50539;06.05.2021 03:00;5,6
Bergen - Florida Uib;SN50539;06.05.2021 04:00;5,9
Bergen - Florida Uib;SN50539;06.05.2021 05:00;5,9
Bergen - Florida Uib;SN50539;06.05.2021 06:00;6,3
Bergen - Florida Uib;SN50539;06.05.2021 07:00;6,8
